Status, Date, Location, Opponent, Outcome, Score
Home, 04/01/2019 - Mon, ADM High School, Carroll, W, 10-0
Home, 04/08/2019 - Mon, ADM High School, Boone, W, 10-0
Home, 04/11/2019 - Thu, ADM High School, Dallas Center-Grimes, W, 2-1
Home, 04/13/2019 - Sat, ADM High School, Glenwood, W, 3-0
Home, 04/16/2019 - Tue, ADM High School, Gilbert, L, 0-1
Home, 04/19/2019 - Fri, ADM High School, Norwalk, W, 1-0
Away, 04/22/2019 - Mon, Ballard High School, @Ballard, W, 4-2
Away, 04/26/2019 - Fri, Bondurant-Farrar High School, @Bondurant-Farrar, W, 4-0
Home, 04/29/2019 - Mon, ADM High School, Nevada, W, 5-0
Home, 05/03/2019 - Fri, Earlham High School, Winterset, W, 2-1
Away, 05/07/2019 - Tue, Perry High School, @Perry, W, 4-0
Home, 05/11/2019 - Sat, Waverly Soccer Complex, Decorah, W, 1-0
Home, 05/11/2019 - Sat, Waverly-Shell Rock Senior High School, Columbus Catholic, W, 1-0
Away, 05/11/2019 - Sat, Waverly Soccer Complex, @Union, W, 3-2
Home, 05/13/2019 - Mon, ADM High School, Carlisle, W, 4-2
Home, 05/16/2019 - Thu, ADM High School, Indianola, W, 4-0
Away, 05/29/2019 - Wed, ADM High School, @Ballard, W, 6-2
Home, 06/03/2019 - Mon, ADM High School, Perry, W, 1-0
Home, 06/06/2019 - Thu, James. W Cownie Soccer Park - Field 9, Burlington Notre Dame, W, 1-0
Home, 06/07/2019 - Fri, James. W Cownie Soccer Park - Field 9, Xavier, L, 0-1
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h20190305012424475d0df196a5d4040
