Status, Date, Location, Opponent, Outcome, Score
Away, 04/06/2019 - Sat, Bettendorf High School, @Cedar Falls, W, 2-0
Home, 04/06/2019 - Sat, Bettendorf High School, Linn-Mar, L, 2-3
Home, 04/11/2019 - Thu, Ames High School, Waukee, L, 1-4
Away, 04/23/2019 - Tue, Urbandale High School, @Urbandale, W, 4-1
Home, 04/26/2019 - Fri, , Normal Community, W, 4-1
Away, 04/26/2019 - Fri, , @Whitefish Bay, L, 1-2
Neutral, 04/27/2019 - Sat, burlington rec plex, Valley, L, 0-2
Away, 05/03/2019 - Fri, Ottumwa Evans Middle School, @Ottumwa, W, 13-0
Away, 05/07/2019 - Tue, Johnston High School, @Johnston, L, 1-3
Home, 05/09/2019 - Thu, Ames High School, Dowling Catholic, L, 0-2
Home, 05/10/2019 - Fri, Ames High School, Norwalk, W, 1-0
Home, 05/13/2019 - Mon, Ames High School, Ankeny, W, 2-0
Home, 05/14/2019 - Tue, Ames High School, Marshalltown, W, 6-0
Away, 05/17/2019 - Fri, East High School, @Des Moines East, W, 10-0
Home, 05/20/2019 - Mon, Ames High School, Mason City, W, 8-0
Away, 05/23/2019 - Thu, Ankeny Centennial High School, @Ankeny Centennial, L, 0-1
Home, 05/29/2019 - Wed, Ames High School, Cedar Rapids Kennedy, L, 0-3
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h20190305012424927cadb8a733a8144
