Status, Date, Location, Opponent, Outcome, Score
Home, 04/01/2019 - Mon, Downing Field, Monticello, L, 0-1
Away, 04/04/2019 - Thu, Regina, Iowa City High School, @Regina Catholic, L, 0-6
Away, 04/08/2019 - Mon, Felderman Park, @Marquette Catholic, L, 2-3
Home, 04/12/2019 - Fri, Downing Field, Union Community, L, 0-14
Away, 04/15/2019 - Mon, Martin Sports Complex, @Cedar Valley Christian, L, 0-1
Away, 04/22/2019 - Mon, West Branch High School, @West Branch, W, 3-1
Away, 04/26/2019 - Fri, Dean Nelson Field, @Monticello, W, 1-0
Home, 04/29/2019 - Mon, Downing Field, Marquette Catholic, L, 2-4
Home, 04/30/2019 - Tue, Downing Field, Northeast, W, 2-1
Home, 05/02/2019 - Thu, Downing Field, Denver, L, 0-10
Away, 05/04/2019 - Sat, Vinton-Shellsburg High School, @Vinton-Shellsburg, L, 0-8
Home, 05/04/2019 - Sat, Vinton-Shellsburg High School, Gladbrook-Reinbeck, L, 1-11
Home, 05/07/2019 - Tue, Downing Field, Mid-Prairie, L, 3-7
Home, 05/09/2019 - Thu, Downing Field, West Branch, L, 2-8
Home, 05/17/2019 - Fri, Downing Field, Benton, W, 3-2
Away, 05/20/2019 - Mon, Northeast Community School District, @Northeast, W, 4-3
Away, 05/28/2019 - Tue, Bellevue Felderman Park, @Marquette Catholic, L, 0-1
