Status, Date, Location, Opponent, Outcome, Score
Home, 04/02/2019 - Tue, Ankeny Centennial High School, Fort Dodge, W, 11-0
Away, 04/05/2019 - Fri, Gale Wickersham Athletic Complex, @Council Bluffs Lincoln, W, 1-0
Neutral, 04/06/2019 - Sat, Gale Wickersham Athletic Complex, Bishop Heelan, W, 2-0
Away, 04/16/2019 - Tue, Walsh Soccer Field, @Ottumwa, W, 12-0
Home, 04/18/2019 - Thu, Ankeny Centennial High School, Bettendorf, W, 1-0
Away, 04/23/2019 - Tue, Johnston High School, @Johnston, W, 1-0
Home, 04/26/2019 - Fri, Burlington RecPlex Field 4, Normal Community West, L, 0-1
Away, 04/27/2019 - Sat, , @Wheaton St. Francis, W, 1-0
Home, 04/27/2019 - Sat, Burlington Regional Rec Plex, Waukee, L, 1-2
Home, 04/30/2019 - Tue, Ankeny Centennial High School, Dowling Catholic, L, 1-2
Away, 05/03/2019 - Fri, Herbert Hoover High School, @Des Moines Hoover, W, 9-0
Home, 05/07/2019 - Tue, Ankeny Centennial High School, Ankeny, W, 1-0
Away, 05/10/2019 - Fri, Urbandale High School, @Urbandale, W, 1-0
Home, 05/14/2019 - Tue, Ankeny Centennial High School, Mason City, W, 8-0
Home, 05/20/2019 - Mon, Ankeny Centennial High School, Southeast Polk, W, 1-0
Home, 05/23/2019 - Thu, Ankeny Centennial High School, Ames, W, 1-0
Home, 05/29/2019 - Wed, Ankeny Centennial High School, Fort Dodge, W, 13-0
Home, 06/03/2019 - Mon, Ankeny Centennial High School, Cedar Rapids Kennedy, W, 2-0
Home, 06/06/2019 - Thu, James. W Cownie Soccer Park - Field 8, Council Bluffs Lincoln, W, 3-2
Away, 06/07/2019 - Fri, James. W Cownie Soccer Park - Field 9, @Waukee, L, 1-2
