Status, Date, Location, Opponent, Outcome, Score
Home, 04/02/2019 - Tue, Ankeny High School, Urbandale, W, 4-0
Neutral, 04/06/2019 - Sat, Bettendorf High School, Pleasant Valley, W, 2-0
Away, 04/06/2019 - Sat, Bettendorf High School, @Bettendorf, W, 1-0
Neutral, 04/13/2019 - Sat, James. W Cownie Soccer Park, North Polk, W, 2-1
Away, 04/13/2019 - Sat, James. W Cownie Soccer Park, @Des Moines Roosevelt, W, 4-1
Home, 04/19/2019 - Fri, Ankeny High School, Des Moines East, W, 10-0
Home, 04/20/2019 - Sat, Ankeny High School, Iowa City West, W, 6-0
Home, 04/23/2019 - Tue, Ankeny High School, Dowling Catholic, W, 1-0
Home, 04/26/2019 - Fri, Burlington Regional Rec Plex, St. Viator, L, 0-1
Away, 04/26/2019 - Fri, Burlington Regional Rec Plex, @Dunlap High, L, 0-3
Home, 04/26/2019 - Fri, Burlington Regional Rec Plex, Quincy Sr high, IL, W, 2-0
Away, 05/03/2019 - Fri, Fort Dodge Senior High School, @Fort Dodge, W, 10-0
Away, 05/07/2019 - Tue, Ankeny Centennial High School, @Ankeny Centennial, L, 0-1
Away, 05/10/2019 - Fri, Johnston High School, @Johnston, W, 5-1
Away, 05/13/2019 - Mon, Ames High School, @Ames, L, 0-2
Home, 05/14/2019 - Tue, Ankeny High School, Des Moines Hoover, W, 12-0
Away, 05/20/2019 - Mon, Waukee Stadium, @Waukee, W, 1-0
Home, 05/29/2019 - Wed, Ankeny High School, Mason City, W, 5-0
Home, 06/03/2019 - Mon, Ankeny High School, Prairie, W, 4-0
Away, 06/06/2019 - Thu, James. W Cownie Soccer Park - Field 7, @Linn-Mar, W, 3-0
Away, 06/07/2019 - Fri, James. W Cownie Soccer Park - Field 6, @Dowling Catholic, W, 2-0
Away, 06/08/2019 - Sat, James. W Cownie Soccer Park - Field 9, @Waukee, W, 1-0
