Status, Date, Location, Opponent, Outcome, Score
Away, 04/09/2019 - Tue, Denver Athletic Complex, @Denver, L, 0-6
Home, 04/16/2019 - Tue, Aplington-Parkersburg School, Hampton-Dumont/CAL, W, 11-0
Home, 04/18/2019 - Thu, Aplington-Parkersburg School, Humboldt, W, 4-0
Home, 04/23/2019 - Tue, Aplington-Parkersburg School, Garner-Hayfield-Ventura, W, 5-0
Away, 04/26/2019 - Fri, Columbus Catholic High School, @Columbus Catholic, L, 0-2
Home, 04/29/2019 - Mon, Aplington-Parkersburg School, Grand View Christian, W, 11-1
Away, 05/02/2019 - Thu, Garner-Hayfield-Ventura Junior High School, @Garner-Hayfield-Ventura, W, 5-1
Home, 05/07/2019 - Tue, Aplington-Parkersburg School, Iowa Falls-Alden, W, 3-0
Away, 05/09/2019 - Thu, Hampton-Dumont High School, @Hampton-Dumont/CAL, W, 10-0
Away, 05/10/2019 - Fri, Humboldt Soccer Field, @Humboldt, W, 3-0
Home, 05/13/2019 - Mon, Aplington-Parkersburg School, Clear Lake, W, 4-0
Away, 05/17/2019 - Fri, Hudson Athletic Complex, @Hudson, L, 0-4
Away, 05/23/2019 - Thu, Clear Lake High School, @Clear Lake, W, 5-1
Away, 05/28/2019 - Tue, Denver Athletic Complex, @Denver, L, 0-4
