Status, Date, Location, Opponent, Outcome, Score
Away, 04/01/2019 - Mon, Kuemper Catholic Field House, @Kuemper Catholic, L, 2-3
Away, 04/04/2019 - Thu, Tri-Center Community School District, @Tri-Center, L, 2-4
Home, 04/08/2019 - Mon, Atlantic High School, Lewis Central, L, 0-5
Home, 04/09/2019 - Tue, Atlantic High School, Missouri Valley, W, 5-2
Away, 04/15/2019 - Mon, Atlantic High School, @Treynor, L, 1-11
Home, 04/22/2019 - Mon, Atlantic High School, Collins-Maxwell, L, 2-3
Away, 04/23/2019 - Tue, YMCA Fields, @St. Albert, L, 3-9
Away, 04/26/2019 - Fri, Harlan Community , @Harlan, W, 4-0
Away, 04/30/2019 - Tue, Atlantic High School, @AHSTW, L, 2-3
Home, 05/02/2019 - Thu, Atlantic High School, Nodaway Valley, L, 2-3
Away, 05/07/2019 - Tue, Creston High School, @Creston, W, 7-2
Home, 05/13/2019 - Mon, Atlantic High School, Riverside, W, 10-0
Home, 05/16/2019 - Thu, Atlantic High School, Carroll, W, 5-3
Home, 05/17/2019 - Fri, Atlantic High School, Glenwood, L, 3-6
Away, 05/20/2019 - Mon, Denison High School, @Denison-Schleswig, L, 5-7
Away, 05/21/2019 - Tue, Perry High School, @Perry, Game Cancelled, N/A
Away, 05/23/2019 - Thu, Glenwood Community High School, @Glenwood, L, 2-4
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h2019030501242587796cc6e8dfde945
