Status, Date, Location, Opponent, Outcome, Score
Away, 04/04/2019 - Thu, H. A. Lynn Stadium, @Newton, W, 2-0
Home, 04/08/2019 - Mon, Ballard High School, Carroll, W, 10-0
Away, 04/11/2019 - Thu, Collins-Maxwell High School, @Collins-Maxwell, L, 1-3
Home, 04/15/2019 - Mon, Ballard High School, Nevada, L, 2-3
Away, 04/19/2019 - Fri, Carlisle High School, @Carlisle, T, 4-4
Home, 04/22/2019 - Mon, Ballard High School, ADM, L, 2-4
Home, 04/23/2019 - Tue, Ballard High School, Panorama, L, 0-1
Away, 05/02/2019 - Thu, North Polk High School, @North Polk, L, 0-4
Away, 05/06/2019 - Mon, Colfax-Mingo High School, @PCM, W, 4-1
Away, 05/10/2019 - Fri, Goeppinger Field, @Boone, W, 9-0
Home, 05/11/2019 - Sat, Nevada High School, Panorama, L, 1-2
Away, 05/11/2019 - Sat, Nevada High School, @Grinnell, W, 2-1
Away, 05/13/2019 - Mon, Pella Christian High School, @Pella Christian, L, 1-2
Home, 05/14/2019 - Tue, Ballard High School, Perry, W, 5-2
Home, 05/16/2019 - Thu, Ballard High School, Bondurant-Farrar, L, 2-3
Away, 05/21/2019 - Tue, Earlham High School, @Winterset, Game Cancelled, N/A
Home, 05/23/2019 - Thu, Ballard High School, Webster City, W, 10-0
Home, 05/29/2019 - Wed, ADM High School, ADM, L, 2-6
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h20190305012426017c8b89d812e8a44
