Status, Date, Location, Opponent, Outcome, Score
Away, 04/02/2019 - Tue, Clear Creek Amana High School, @Clear Creek-Amana, L, 3-4
Away, 04/04/2019 - Thu, Western Dubuque High School, @Western Dubuque, W, 7-2
Home, 04/06/2019 - Sat, Beckman Catholic High School, Mount Vernon, L, 0-1
Away, 04/09/2019 - Tue, South Tama High School, @South Tama, W, 3-0
Home, 04/11/2019 - Thu, Beckman Catholic High School, Solon, W, 6-0
Away, 04/13/2019 - Sat, Assumption High School, @Davenport Assumption, L, 0-10
Home, 04/13/2019 - Sat, St. Vincent Athletic Complex, Burlington Notre Dame, L, 1-2
Away, 04/16/2019 - Tue, Marion High School, @Marion, L, 0-1
Away, 04/23/2019 - Tue, Central DeWitt High School, @Central DeWitt, W, 3-0
Home, 04/26/2019 - Fri, Beckman Catholic High School, Benton, W, 2-0
Home, 05/02/2019 - Thu, Beckman Catholic High School, Independence, W, 2-1
Away, 05/07/2019 - Tue, Goodenow Field, @Maquoketa, W, 3-0
Away, 05/10/2019 - Fri, Williamsburg Junior-Senior High School, @Williamsburg, W, 2-1
Home, 05/14/2019 - Tue, Beckman Catholic High School, West Delaware, W, 10-0
Away, 05/22/2019 - Wed, Vinton-Shellsburg High School, @Vinton-Shellsburg, W, 6-2
Home, 05/24/2019 - Fri, Beckman High School, Center Point-Urbana, L, 0-1
Home, 05/28/2019 - Tue, Beckman Catholic High School, Monticello, W, 10-0
Away, 05/31/2019 - Fri, Hudson Athletic Complex, @Hudson, W, 2-0
Away, 06/03/2019 - Mon, Center Point-Urbana High School, @Center Point-Urbana, L, 0-1
