Status, Date, Location, Opponent, Outcome, Score
Away, 04/02/2019 - Tue, Williamsburg Junior-Senior High School, @Williamsburg, L, 1-2
Home, 04/05/2019 - Fri, Benton Community Middle School High School, Maquoketa, W, 2-0
Home, 04/09/2019 - Tue, Benton Community Middle School High School, Clear Creek-Amana, L, 0-2
Away, 04/11/2019 - Thu, Central DeWitt High School, @Central DeWitt, L, 2-5
Away, 04/15/2019 - Mon, Solon High School, @Solon, W, 2-0
Home, 04/16/2019 - Tue, Benton Community Middle School High School, South Tama, W, 4-1
Away, 04/23/2019 - Tue, Marion High School, @Marion, L, 1-5
Away, 04/26/2019 - Fri, Beckman Catholic High School, @Beckman Catholic, L, 0-2
Away, 04/30/2019 - Tue, Independence JR / SR High School, @Independence, L, 0-1
Home, 05/02/2019 - Thu, Benton Community Middle School High School, Center Point-Urbana, L, 0-5
Home, 05/06/2019 - Mon, Benton Community Middle School High School, Mount Vernon, L, 1-4
Home, 05/07/2019 - Tue, Benton Community Middle School High School, West Delaware, W, 1-0
Neutral, 05/11/2019 - Sat, Waverly Soccer Complex, TBD, Game Cancelled, N/A
Away, 05/11/2019 - Sat, Waverly Soccer Complex, @Waverly-Shell Rock, L, 0-10
Away, 05/11/2019 - Sat, Waverly Soccer Complex, @Western Dubuque, L, 0-7
Away, 05/11/2019 - Sat, Waverly-Shell Rock Senior High School, @Solon, L, 0-1
Home, 05/14/2019 - Tue, Benton Community Middle School High School, Vinton-Shellsburg, L, 0-2
Away, 05/17/2019 - Fri, Downing Field, @Anamosa, L, 2-3
Away, 05/29/2019 - Wed, Union High School, @Union, L, 0-10
