Status, Date, Location, Opponent, Outcome, Score
Home, 04/02/2019 - Tue, Bettendorf High School, Davenport Central, W, 6-1
Home, 04/05/2019 - Fri, Bettendorf High School, Iowa City West, W, 2-1
Home, 04/06/2019 - Sat, Bettendorf High School, Ankeny, L, 0-1
Away, 04/09/2019 - Tue, Assumption High School, @Davenport Assumption, L, 1-3
Home, 04/12/2019 - Fri, Bettendorf High School, Pleasant Valley, W, 2-1
Home, 04/16/2019 - Tue, Bettendorf High School, Davenport North, W, 3-0
Away, 04/18/2019 - Thu, Ankeny Centennial High School, @Ankeny Centennial, L, 0-1
Away, 04/23/2019 - Tue, Muscatine Soccer Complex, @Muscatine, W, 3-1
Away, 04/26/2019 - Fri, Alleman Sports Complex (Moline, IL), @Rock Island Alleman (IL), W, 2-1
Away, 04/30/2019 - Tue, Bracewell Stadium, Burlington, @Burlington, W, 6-1
Away, 05/03/2019 - Fri, UT Soccer Complex (Silvis, IL), @United Township (IL), W, 5-1
Away, 05/07/2019 - Tue, North Scott Senior High School, @North Scott, W, 4-0
Home, 05/11/2019 - Sat, Bettendorf High School, Xavier, W, 3-2
Home, 05/13/2019 - Mon, Bettendorf High School, Clinton, W, 4-0
Neutral, 05/17/2019 - Fri, Linn-Mar High School, Dowling Catholic, L, 1-4
Away, 05/22/2019 - Wed, West High School, @Davenport West, W, 10-0
Home, 05/29/2019 - Wed, Bettendorf High School, Davenport West, W, 11-0
Home, 06/03/2019 - Mon, Bettendorf High School, Pleasant Valley, L, 1-2
