Status, Date, Location, Opponent, Outcome, Score
Away, 04/02/2019 - Tue, Spencer Middle School, @Spencer, L, 0-1
Neutral, 04/06/2019 - Sat, Gale Wickersham Athletic Complex, Ankeny Centennial, L, 0-2
Neutral, 04/06/2019 - Sat, Gale Wickersham Athletic Complex, Treynor, W, 3-2
Home, 04/09/2019 - Tue, Heelan Catholic Memorial Stadium, Sioux City East, W, 2-0
Home, 04/15/2019 - Mon, Heelan Catholic Memorial Stadium, St. Albert, W, 3-2
Away, 04/17/2019 - Wed, Sergeant Bluff-Luton Senior High School, @Sergeant Bluff-Luton, W, 2-1
Away, 04/23/2019 - Tue, Sheldon High School, @Sheldon, W, 10-0
Away, 04/25/2019 - Thu, Gale Wickersham Athletic Complex, @Council Bluffs Lincoln, L, 1-3
Away, 04/29/2019 - Mon, Lewis Central High School, @Lewis Central, W, 1-0
Home, 04/30/2019 - Tue, Heelan Catholic Memorial Stadium, Unity Christian, W, 5-0
Home, 05/03/2019 - Fri, Heelan Catholic Memorial Stadium, Sioux City North, W, 2-0
Away, 05/07/2019 - Tue, Sioux City East High School, @Sioux City East, W, 4-0
Home, 05/13/2019 - Mon, Heelan Catholic Memorial Stadium, Sioux City West, W, 3-0
Away, 05/23/2019 - Thu, Gale Wickersham Athletic Complex, @Council Bluffs Jefferson, W, 2-1
Home, 05/28/2019 - Tue, Heelan Catholic Memorial Stadium, West Sioux, W, 10-0
Home, 05/31/2019 - Fri, Heelan Catholic Memorial Stadium, Sergeant Bluff-Luton, W, 7-0
Home, 06/03/2019 - Mon, Heelan Catholic Memorial Stadium, Unity Christian, W, 3-0
Home, 06/06/2019 - Thu, James. W Cownie Soccer Park - Field 6, North Polk, L, 1-2
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h201903050124268595bd9ee46de8445
