Status, Date, Location, Opponent, Outcome, Score
Home, 04/01/2019 - Mon, Bondurant-Farrar High School, Nevada, W, 3-2
Home, 04/04/2019 - Thu, Bondurant-Farrar High School, Pella, L, 0-3
Away, 04/08/2019 - Mon, Carlisle High School, @Carlisle, W, 5-2
Away, 04/11/2019 - Thu, Carroll Recreation Center, @Carroll, W, 10-0
Away, 04/13/2019 - Sat, ADM High School, @St. Albert, W, 7-1
Away, 04/13/2019 - Sat, ADM High School, @Norwalk, L, 1-4
Away, 04/16/2019 - Tue, Perry High School, @Perry, W, 3-2
Away, 04/19/2019 - Fri, Goeppinger Field, @Boone, W, 10-0
Home, 04/26/2019 - Fri, Bondurant-Farrar High School, ADM, L, 0-4
Home, 05/03/2019 - Fri, Bondurant-Farrar High School, Dallas Center-Grimes, L, 1-3
Away, 05/10/2019 - Fri, Earlham High School, @Winterset, L, 0-3
Home, 05/11/2019 - Sat, Waverly-Shell Rock Senior High School, Columbus Catholic, L, 0-1
Away, 05/11/2019 - Sat, Waverly-Shell Rock Senior High School, @Decorah, W, 2-0
Away, 05/11/2019 - Sat, Waverly-Shell Rock Senior High School, @Hudson, W, 3-2
Home, 05/14/2019 - Tue, Bondurant-Farrar High School, Des Moines Christian, W, 1-0
Away, 05/16/2019 - Thu, Ballard High School, @Ballard, W, 3-2
Away, 05/21/2019 - Tue, Gilbert High School, @Gilbert, L, 0-3
Home, 05/29/2019 - Wed, Bondurant-Farrar High School, Clear Creek-Amana, W, 2-1
Away, 06/03/2019 - Mon, Dallas Center-Grimes High School, @Dallas Center-Grimes, L, 1-3
