Status, Date, Location, Opponent, Outcome, Score
Away, 04/04/2019 - Thu, Earlham High School, @Winterset, L, 0-10
Home, 04/06/2019 - Sat, Goeppinger Field, Iowa Falls-Alden, L, 0-4
Home, 04/06/2019 - Sat, Boone High School, Webster City, L, 2-4
Away, 04/08/2019 - Mon, ADM High School, @ADM, L, 0-10
Home, 04/09/2019 - Tue, Boone High School, Gilbert, L, 0-10
Home, 04/15/2019 - Mon, Goeppinger Field, Carlisle, L, 0-10
Away, 04/18/2019 - Thu, Perry High School, @Perry, L, 0-9
Home, 04/19/2019 - Fri, Goeppinger Field, Bondurant-Farrar, L, 0-10
Home, 04/26/2019 - Fri, Goeppinger Field, Kuemper Catholic, L, 0-7
Home, 05/02/2019 - Thu, Goeppinger Field, Grand View Christian, W, 2-0
Home, 05/04/2019 - Sat, Creston High School, Creston, L, 0-2
Home, 05/04/2019 - Sat, Creston High School, Greene County, W, 1-0
Away, 05/06/2019 - Mon, Collins-Maxwell High School, @Collins-Maxwell, L, 1-9
Home, 05/10/2019 - Fri, Goeppinger Field, Ballard, L, 0-9
Home, 05/13/2019 - Mon, Goeppinger Field, Grinnell, L, 0-6
Home, 05/16/2019 - Thu, Boone High School, Webster City, W, 3-1
Home, 05/17/2019 - Fri, Boone High School, Newton, L, 0-6
Away, 05/21/2019 - Tue, Carroll Athletic Stadium, @Carroll, W, 1-0
Away, 05/23/2019 - Thu, Ballard High School, @Collins-Maxwell, L, 0-10
