Status, Date, Location, Opponent, Outcome, Score
Away, 04/02/2019 - Tue, Muscatine Soccer Complex, @Muscatine, L, 0-6
Away, 04/09/2019 - Tue, North Scott Senior High School, @North Scott, L, 0-3
Home, 04/12/2019 - Fri, Bracewell Stadium, Davenport Central, L, 1-4
Away, 04/16/2019 - Tue, Pleasant Valley High School, @Pleasant Valley, L, 0-4
Away, 04/18/2019 - Thu, Walsh Soccer Field, @Ottumwa, W, 7-0
Away, 04/22/2019 - Mon, Keokuk High School, @Keokuk, W, 8-0
Home, 04/23/2019 - Tue, Bracewell Stadium, Clinton, W, 4-1
Away, 04/25/2019 - Thu, Macomb High School, @Macomb , W, 4-2
Home, 04/30/2019 - Tue, Bracewell Stadium, Burlington, Bettendorf, L, 1-6
Home, 05/02/2019 - Thu, Bracewell Stadium, Fort Madison, W, 5-1
Home, 05/07/2019 - Tue, Bracewell Stadium, Davenport West, W, 9-0
Home, 05/09/2019 - Thu, Bracewell Stadium, Holy Trinity Catholic, W, 3-2
Away, 05/13/2019 - Mon, North High School Tennis Courts, @Davenport North, L, 0-3
Home, 05/14/2019 - Tue, Bracewell Stadium, Burlington Notre Dame, L, 0-4
Home, 05/21/2019 - Tue, Bracewell Stadium, Davenport Assumption, L, 0-10
Home, 05/23/2019 - Thu, Burlington High School, Fort Madison, W, 6-0
Away, 05/28/2019 - Tue, Burlington High School, @Burlington Notre Dame, L, 0-6
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h20190305012427269a0e4ded594ce47
