Status, Date, Location, Opponent, Outcome, Score
Home, 04/01/2019 - Mon, Burlington Notre Dame Schools, Davenport Assumption, L, 1-2
Home, 04/05/2019 - Fri, Burlington Notre Dame Schools, Wapello, W, 10-0
Home, 04/12/2019 - Fri, Burlington Notre Dame Schools, Regina Catholic, W, 2-0
Neutral, 04/13/2019 - Sat, St. Vincent Athletic Complex, West Branch, W, 9-0
Away, 04/13/2019 - Sat, St. Vincent Athletic Complex, @Beckman Catholic, W, 2-1
Away, 04/15/2019 - Mon, Holy Trinity Catholic Schools, @Holy Trinity Catholic, W, 2-1
Home, 04/26/2019 - Fri, , Peoria Richwoods, W, 3-0
Home, 04/27/2019 - Sat, , Olathe, KS, L, 0-2
Home, 04/27/2019 - Sat, , Pewaukee, WI, W, 1-0
Home, 04/29/2019 - Mon, Burlington Notre Dame Schools, Davenport West, W, 10-0
Home, 04/30/2019 - Tue, Burlington Notre Dame Schools, Holy Trinity Catholic, W, 2-0
Away, 05/07/2019 - Tue, Mediapolis Community School, @Mediapolis, W, 4-0
Away, 05/13/2019 - Mon, East Lake Park, @Mount Pleasant, W, 2-1
Away, 05/14/2019 - Tue, Bracewell Stadium, @Burlington, W, 4-0
Away, 05/16/2019 - Thu, Keokuk High School, @Keokuk, W, 4-0
Home, 05/28/2019 - Tue, Burlington High School, Burlington, W, 6-0
Away, 06/03/2019 - Mon, Greater Burlington Area Sports Facilities - TheTurf, @Marion, W, 1-0
Away, 06/06/2019 - Thu, James. W Cownie Soccer Park - Field 9, @ADM, L, 0-1
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h201903050124274320586732388744b
