Status, Date, Location, Opponent, Outcome, Score
Home, 04/01/2019 - Mon, Carlisle High School, Knoxville, W, 7-0
Away, 04/04/2019 - Thu, Perry High School, @Perry, L, 1-6
Home, 04/08/2019 - Mon, Carlisle High School, Bondurant-Farrar, L, 2-5
Away, 04/09/2019 - Tue, Faith Baptist Bible College, @Grand View Christian, W, 10-0
Home, 04/11/2019 - Thu, Carlisle High School, Winterset, L, 3-5
Away, 04/15/2019 - Mon, Goeppinger Field, @Boone, W, 10-0
Away, 04/18/2019 - Thu, Des Moines Christian School, @Des Moines Christian, L, 0-2
Home, 04/19/2019 - Fri, Carlisle High School, Ballard, T, 4-4
Home, 04/30/2019 - Tue, Carlisle High School, Carroll, W, 8-0
Away, 05/02/2019 - Thu, Knoxville High School, @Knoxville, L, 1-3
Away, 05/04/2019 - Sat, Indianola Stadium, @Indianola, W, 3-0
Home, 05/06/2019 - Mon, Carlisle High School, Chariton, W, 10-0
Home, 05/10/2019 - Fri, Carlisle High School, Grand View Christian, W, 8-1
Away, 05/13/2019 - Mon, ADM High School, @ADM, L, 2-4
Away, 05/16/2019 - Thu, Grinnell Ahrens Park, @Grinnell, W, 5-1
Home, 05/23/2019 - Thu, Carlisle High School, Des Moines Hoover, W, 7-0
Away, 05/29/2019 - Wed, Earlham High School, @Winterset, L, 2-8
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h20190305012427684f8f944e6875741
