Status, Date, Location, Opponent, Outcome, Score
Away, 04/01/2019 - Mon, ADM High School, @ADM, L, 0-10
Home, 04/04/2019 - Thu, Carroll Athletic Stadium, Greene County, L, 1-2
Away, 04/08/2019 - Mon, Ballard High School, @Ballard, L, 0-10
Home, 04/11/2019 - Thu, Carroll Recreation Center, Bondurant-Farrar, L, 0-10
Home, 04/15/2019 - Mon, Carroll Athletic Stadium, East Sac County, W, 3-0
Away, 04/16/2019 - Tue, Riverside Community High School, @Riverside, W, 4-0
Away, 04/22/2019 - Mon, 840 E Anthony St, @Kuemper Catholic, L, 0-5
Home, 04/23/2019 - Tue, Carroll Athletic Stadium, Denison-Schleswig, L, 0-7
Away, 04/26/2019 - Fri, Earlham High School, @Winterset, L, 0-10
Away, 04/30/2019 - Tue, Carlisle High School, @Carlisle, L, 0-8
Home, 05/06/2019 - Mon, Carroll Recreation Center, Nodaway Valley, L, 0-5
Home, 05/09/2019 - Thu, Carroll High School, Perry, L, 0-7
Away, 05/14/2019 - Tue, Gale Wickersham Athletic Complex, @Council Bluffs Jefferson, L, 0-10
Away, 05/16/2019 - Thu, Atlantic High School, @Atlantic, L, 3-5
Home, 05/21/2019 - Tue, Carroll Athletic Stadium, Boone, L, 0-1
Home, 05/23/2019 - Thu, Carroll High School, Storm Lake, W, 1-0
Away, 05/28/2019 - Tue, Denison High School, @Denison-Schleswig, L, 1-6
