Status, Date, Location, Opponent, Outcome, Score
Away, 04/02/2019 - Tue, Stephen Hempstead High School, @Dubuque Hempstead, W, 1-0
Away, 04/04/2019 - Thu, Union High School, @Union Community, L, 1-3
Home, 04/06/2019 - Sat, Bettendorf High School, Ames, L, 0-2
Away, 04/06/2019 - Sat, Bettendorf High School, @North Scott, L, 1-2
Away, 04/09/2019 - Tue, Linn-Mar High School, @Linn-Mar, L, 0-4
Home, 04/16/2019 - Tue, Cedar Valley Soccer Complex, Wahlert Catholic, L, 0-1
Home, 04/23/2019 - Tue, Cedar Valley Soccer Complex, Waverly-Shell Rock, L, 0-8
Away, 04/25/2019 - Thu, Dubuque Senior High School, @Dubuque Senior, L, 1-4
Home, 04/30/2019 - Tue, Cedar Valley Soccer Complex, Cedar Rapids Washington, W, 4-3
Home, 05/03/2019 - Fri, Cedar Valley Soccer Complex, Xavier, L, 1-5
Away, 05/06/2019 - Mon, Iowa City High, @Iowa City, City High, L, 0-2
Away, 05/10/2019 - Fri, Cedar Rapids Prairie  High School, @Prairie, L, 0-3
Home, 05/14/2019 - Tue, Cedar Valley Soccer Complex, Western Dubuque, L, 2-3
Home, 05/16/2019 - Thu, Cedar Valley Soccer Complex, Waterloo East, W, 3-0
Away, 05/18/2019 - Sat, North Polk High School, @North Polk, L, 0-1
Away, 05/21/2019 - Tue, West High School, @Iowa City West, L, 1-4
Home, 05/24/2019 - Fri, Cedar Valley Soccer Complex, Cedar Rapids Jefferson, W, 1-0
Home, 05/29/2019 - Wed, Cedar Rapids Prairie  High School, Prairie, L, 0-1
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h20190305012427865ff5ce5292f7b4b
