Status, Date, Location, Opponent, Outcome, Score
Neutral, 04/01/2019 - Mon, Kingston Stadium, Cedar Valley Christian, Game Cancelled, N/A
Away, 04/04/2019 - Thu, Cedar Rapids Prairie  High School, @Prairie, L, 0-8
Away, 04/09/2019 - Tue, Kingston Stadium, @Cedar Rapids Washington, L, 0-1
Home, 04/17/2019 - Wed, Lower Kingston, Iowa City, City High, L, 1-6
Away, 04/19/2019 - Fri, North High School Tennis Courts, @Davenport North, L, 1-4
Away, 04/23/2019 - Tue, Cedar Valley Soccer Complex, @Waterloo East, L, 0-5
Home, 04/25/2019 - Thu, Lower Kingston, Iowa City Liberty, L, 0-1
Away, 04/30/2019 - Tue, Union High School, @Union Community, L, 0-7
Away, 05/03/2019 - Fri, Stephen Hempstead High School, @Dubuque Hempstead, L, 1-4
Home, 05/07/2019 - Tue, Lower Kingston, Wahlert Catholic, L, 0-1
Home, 05/10/2019 - Fri, Kingston Stadium, Linn-Mar, L, 0-7
Away, 05/14/2019 - Tue, West High School, @Iowa City West, L, 1-3
Home, 05/16/2019 - Thu, Lower Kingston, Cedar Rapids Kennedy, L, 0-4
Away, 05/21/2019 - Tue, Western Dubuque High School, @Western Dubuque, L, 1-2
Away, 05/24/2019 - Fri, Cedar Valley Soccer Complex, @Cedar Falls, L, 0-1
