Status, Date, Location, Opponent, Outcome, Score
Home, 04/09/2019 - Tue, Coe College, Prairie, L, 1-2
Away, 04/16/2019 - Tue, Xavier High School, @Xavier, L, 0-1
Home, 04/23/2019 - Tue, Coe College, Cedar Rapids Washington, W, 2-1
Home, 04/25/2019 - Thu, Coe College, Iowa City West, W, 1-0
Away, 04/30/2019 - Tue, Linn-Mar High School, @Linn-Mar, L, 0-1
Away, 05/03/2019 - Fri, Wahlert Catholic High School, @Wahlert Catholic, L, 0-1
Home, 05/07/2019 - Tue, Coe College, Dubuque Hempstead, W, 3-1
Away, 05/14/2019 - Tue, Liberty High School, @Iowa City Liberty, W, 4-0
Away, 05/16/2019 - Thu, Lower Kingston, @Cedar Rapids Jefferson, W, 4-0
Home, 05/17/2019 - Fri, Linn-Mar High School, Valley, L, 1-3
Home, 05/21/2019 - Tue, Linn-Mar Stadium, Dubuque Senior, Game Cancelled, N/A
Home, 05/23/2019 - Thu, Coe College Clark Alumni House, Waterloo, W, 1-0
Away, 05/29/2019 - Wed, Ames High School, @Ames, W, 3-0
Away, 06/03/2019 - Mon, Ankeny Centennial High School, @Ankeny Centennial, L, 0-2
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h2019030501242812568911cc1f07447
