Status, Date, Location, Opponent, Outcome, Score
Away, 04/04/2019 - Thu, Linn-Mar High School, @Linn-Mar, L, 0-3
Home, 04/09/2019 - Tue, Kingston Stadium, Cedar Rapids Jefferson, W, 1-0
Home, 04/11/2019 - Thu, Kingston Stadium, Western Dubuque, L, 0-1
Home, 04/15/2019 - Mon, Kingston Stadium, Iowa City West, W, 1-0
Home, 04/19/2019 - Fri, Kingston Stadium, Davenport Central, W, 4-0
Away, 04/23/2019 - Tue, Coe College, @Cedar Rapids Kennedy, L, 1-2
Home, 04/25/2019 - Thu, Kingston Stadium, Xavier, L, 0-4
Away, 04/30/2019 - Tue, Cedar Valley Soccer Complex, @Cedar Falls, L, 3-4
Away, 05/03/2019 - Fri, Dubuque Senior High School, @Dubuque Senior, L, 0-1
Away, 05/07/2019 - Tue, Regina, Iowa City High School, @Regina Catholic, W, 1-0
Home, 05/10/2019 - Fri, Mount Mercy College, Waterloo East, L, 0-1
Away, 05/14/2019 - Tue, Iowa City High, @Iowa City, City High, L, 0-4
Away, 05/16/2019 - Thu, Cedar Rapids Prairie  High School, @Prairie, L, 0-2
Away, 05/22/2019 - Wed, Assumption High School, @Davenport Assumption, L, 0-5
Away, 05/23/2019 - Thu, Davenport Brady St. Stadium, @Davenport Central, L, 2-3
