Status, Date, Location, Opponent, Outcome, Score
Neutral, 04/01/2019 - Mon, Kingston Stadium, Cedar Rapids Jefferson, Game Cancelled, N/A
Home, 04/05/2019 - Fri, Martin Sports Complex, Columbus Catholic, L, 0-4
Home, 04/09/2019 - Tue, Martin Sports Complex, Gladbrook-Reinbeck, L, 0-7
Home, 04/15/2019 - Mon, Martin Sports Complex, Anamosa, W, 1-0
Home, 04/18/2019 - Thu, Martin Sports Complex, West Liberty, W, 3-0
Away, 04/23/2019 - Tue, Dean Nelson Field, @Monticello, W, 3-1
Home, 04/25/2019 - Thu, Martin Sports Complex, West Delaware, W, 3-0
Home, 05/06/2019 - Mon, Martin Sports Complex, West Branch, L, 1-2
Home, 05/09/2019 - Thu, Martin Sports Complex, Hudson, L, 0-5
Away, 05/10/2019 - Fri, Felderman Park, @Marquette Catholic, W, 2-1
Away, 05/16/2019 - Thu, Williamsburg Junior-Senior High School, @Williamsburg, L, 0-1
Away, 05/17/2019 - Fri, Mount Vernon High School, @Mount Vernon, Game Cancelled, N/A
Away, 05/29/2019 - Wed, Solon Community School District Spartan Stadium, @Vinton-Shellsburg, L, 0-3
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h2019030501242856539496b0bc8004f
