Status, Date, Location, Opponent, Outcome, Score
Home, 04/02/2019 - Tue, Fross Park, Center Point, Mount Vernon, W, 1-0
Away, 04/05/2019 - Fri, West Delaware Schools - (Beckman Sports Complex), @West Delaware, W, 8-0
Away, 04/09/2019 - Tue, Williamsburg Junior-Senior High School, @Williamsburg, W, 2-0
Away, 04/15/2019 - Mon, Waverly-Shell Rock Soccer Complex, @Waverly-Shell Rock, L, 0-1
Home, 04/16/2019 - Tue, Fross Park, Center Point, Clear Creek-Amana, W, 2-1
Home, 04/18/2019 - Thu, Fross Park, Center Point, Prairie, L, 0-1
Home, 04/23/2019 - Tue, Fross Park, Center Point, South Tama, W, 7-0
Home, 04/26/2019 - Fri, Fross Park, Center Point, Central DeWitt, W, 4-0
Away, 04/30/2019 - Tue, Solon High School, @Solon, W, 5-0
Away, 05/02/2019 - Thu, Benton Community Middle School High School, @Benton, W, 5-0
Away, 05/06/2019 - Mon, Vinton-Shellsburg High School, @Vinton-Shellsburg, W, 2-0
Home, 05/10/2019 - Fri, Fross Park, Center Point, Maquoketa, W, 3-0
Away, 05/11/2019 - Sat, Marion High School, @Marion, W, 1-0
Away, 05/14/2019 - Tue, Independence JR / SR High School, @Independence, W, 4-0
Away, 05/24/2019 - Fri, Beckman High School, @Beckman Catholic, W, 1-0
Home, 05/29/2019 - Wed, Linn-Mar High School, Northeast, W, 10-0
Home, 05/31/2019 - Fri, Liberty High School, Marquette Catholic, W, 5-0
Home, 06/03/2019 - Mon, Center Point-Urbana High School, Beckman Catholic, W, 1-0
Home, 06/06/2019 - Thu, James. W Cownie Soccer Park - Field 7, Nevada, W, 1-0
Away, 06/07/2019 - Fri, James. W Cownie Soccer Park - Field 6, @North Polk, L, 0-1
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h201903050124286955a88f3db248a46
