Status, Date, Location, Opponent, Outcome, Score
Home, 04/01/2019 - Mon, Paul Johnson Field, Grand View Christian, W, 5-2
Away, 04/04/2019 - Thu, Pella Christian High School, @Pella Christian, L, 0-4
Home, 04/06/2019 - Sat, Paul Johnson Field, Clarke, W, 10-0
Home, 04/06/2019 - Sat, Lakeview Athletic Complex, Ottumwa, W, 3-2
Home, 04/09/2019 - Tue, Centerville High School, Chariton, W, 5-2
Home, 04/11/2019 - Thu, Paul Johnson Field, Central Lee, W, 2-0
Away, 04/12/2019 - Fri, Clarke Community Middle/High School, @Clarke, Game Cancelled, N/A
Away, 04/18/2019 - Thu, Lacey Sports Complex, @Oskaloosa, L, 0-5
Home, 04/23/2019 - Tue, Lakeview Elementary, Knoxville, L, 0-8
Home, 04/26/2019 - Fri, Paul Johnson Field, Clarke, W, 10-0
Away, 05/06/2019 - Mon, Dexter Soccer Complex, @Fairfield, L, 1-8
Away, 05/09/2019 - Thu, Knoxville High School, @Knoxville, L, 0-10
Away, 05/10/2019 - Fri, Chariton High School, @Chariton, L, 1-3
Away, 05/13/2019 - Mon, Washington High School, @Washington, L, 2-4
Away, 05/16/2019 - Thu, Washington High School, @Mediapolis, W, 3-2
Away, 05/20/2019 - Mon, Colfax-Mingo High School, @PCM, L, 0-10
Away, 05/29/2019 - Wed, Pella Christian High School, @Pella Christian, L, 0-10
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h20190305012428903cb1ee43a57c74f
