Status, Date, Location, Opponent, Outcome, Score
Home, 03/26/2019 - Tue, Central DeWitt High School, Marquette Catholic, Game Cancelled, N/A
Home, 04/01/2019 - Mon, Central DeWitt High School, Clinton, L, 1-2
Away, 04/02/2019 - Tue, South Tama High School, @South Tama, W, 1-0
Home, 04/05/2019 - Fri, Central DeWitt High School, Williamsburg, L, 1-3
Away, 04/09/2019 - Tue, Marion High School, @Marion, L, 1-9
Home, 04/11/2019 - Thu, Central DeWitt High School, Benton, W, 5-2
Home, 04/16/2019 - Tue, Central DeWitt High School, Solon, L, 0-1
Away, 04/18/2019 - Thu, Independence JR / SR High School, @Independence, L, 1-5
Home, 04/23/2019 - Tue, Central DeWitt High School, Beckman Catholic, L, 0-3
Home, 04/25/2019 - Thu, Central DeWitt High School, Davenport Central, L, 1-8
Away, 04/26/2019 - Fri, Fross Park, Center Point, @Center Point-Urbana, L, 0-4
Away, 04/30/2019 - Tue, West Delaware Schools - (Beckman Sports Complex), @West Delaware, W, 4-0
Home, 05/02/2019 - Thu, Central DeWitt High School, Vinton-Shellsburg, L, 1-10
Home, 05/07/2019 - Tue, Central DeWitt High School, Mount Vernon, L, 1-10
Away, 05/10/2019 - Fri, Clear Creek Amana High School, @Clear Creek-Amana, L, 0-4
Away, 05/14/2019 - Tue, Goodenow Field, @Maquoketa, L, 1-5
Away, 05/16/2019 - Thu, West High School, @Davenport West, W, 2-0
Away, 05/17/2019 - Fri, North Scott Senior High School, @North Scott, L, 0-7
Home, 05/23/2019 - Thu, Central DeWitt High School, Davenport North, L, 0-2
