Status, Date, Location, Opponent, Outcome, Score
Home, 04/01/2019 - Mon, Chariton High School, Des Moines North, Game Cancelled, N/A
Away, 04/04/2019 - Thu, Herbert Hoover High School, @Des Moines Hoover, L, 1-4
Away, 04/09/2019 - Tue, Centerville High School, @Centerville, L, 2-5
Home, 04/11/2019 - Thu, Chariton High School, Clarke, W, 8-0
Home, 04/15/2019 - Mon, Chariton High School, Knoxville, L, 0-1
Home, 04/16/2019 - Tue, Chariton High School, Creston, L, 1-3
Away, 04/18/2019 - Thu, Pella Christian High School, @Pella Christian, L, 0-6
Away, 04/23/2019 - Tue, PCM High School, @PCM, Monroe, L, 0-3
Away, 04/30/2019 - Tue, Creston High School, @Creston, Game Cancelled, N/A
Away, 05/06/2019 - Mon, Carlisle High School, @Carlisle, L, 0-10
Away, 05/09/2019 - Thu, Clarke Community Middle/High School, @Clarke, W, 3-0
Home, 05/10/2019 - Fri, Chariton High School, Centerville, W, 3-1
Home, 05/14/2019 - Tue, Chariton High School, Ottumwa, L, 0-2
Away, 05/16/2019 - Thu, Knoxville High School, @Knoxville, L, 1-7
Home, 05/21/2019 - Tue, Chariton High School, Collins-Maxwell, Game Cancelled, N/A
Home, 05/23/2019 - Thu, Chariton High School, Grand View Christian, W, 1-0
Away, 05/29/2019 - Wed, Des Moines Christian School, @Des Moines Christian, L, 0-5
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h20190305012429086cb5fed96556d44
