Status, Date, Location, Opponent, Outcome, Score
Away, 04/06/2019 - Sat, Paul Johnson Field, @Centerville, L, 0-10
Neutral, 04/06/2019 - Sat, Lakeview Athletic Complex, Ottumwa, L, 0-10
Away, 04/11/2019 - Thu, Chariton High School, @Chariton, L, 0-8
Home, 04/12/2019 - Fri, Clarke Community Middle/High School, Centerville, Game Cancelled, N/A
Away, 04/26/2019 - Fri, Paul Johnson Field, @Centerville, L, 0-10
Away, 04/29/2019 - Mon, Panorama High School, @Panorama, L, 0-10
Home, 05/06/2019 - Mon, Clarke Community Middle/High School, Knoxville, L, 0-10
Home, 05/07/2019 - Tue, Clarke Community Middle/High School, Newton, L, 0-11
Home, 05/09/2019 - Thu, Clarke Community Middle/High School, Chariton, L, 0-3
Home, 05/21/2019 - Tue, Clarke Community Middle/High School, Des Moines North, Game Cancelled, N/A
Away, 05/29/2019 - Wed, West Central Valley High School, @WCV-NV-AC, L, 0-9
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h20190305012429165462cd024870149
