Status, Date, Location, Opponent, Outcome, Score
Home, 04/02/2019 - Tue, Clear Creek Amana High School, Beckman Catholic, W, 4-3
Home, 04/08/2019 - Mon, Clear Creek Amana High School, Grinnell, W, 1-0
Away, 04/09/2019 - Tue, Benton Community Middle School High School, @Benton, W, 2-0
Home, 04/11/2019 - Thu, Clear Creek Amana High School, Vinton-Shellsburg, W, 5-0
Away, 04/16/2019 - Tue, Fross Park, Center Point, @Center Point-Urbana, L, 1-2
Away, 04/18/2019 - Thu, Goodenow Field, @Maquoketa, W, 3-0
Home, 04/23/2019 - Tue, Clear Creek Amana High School, Independence, L, 1-2
Home, 04/26/2019 - Fri, Clear Creek Amana High School, West Delaware, W, 10-0
Away, 04/29/2019 - Mon, Regina, Iowa City High School, @Regina Catholic, W, 2-1
Away, 05/02/2019 - Thu, Mount Vernon High School, @Mount Vernon, L, 2-3
Away, 05/06/2019 - Mon, Williamsburg Junior-Senior High School, @Williamsburg, L, 0-1
Home, 05/08/2019 - Wed, Clear Creek Amana High School, South Tama, W, 10-0
Home, 05/10/2019 - Fri, Clear Creek Amana High School, Central DeWitt, W, 4-0
Away, 05/14/2019 - Tue, Solon High School, @Solon, W, 2-0
Home, 05/16/2019 - Thu, Clear Creek Amana High School, Union Community, W, 4-3
Home, 05/21/2019 - Tue, Clear Creek Amana High School, Marion, W, 4-2
Home, 05/23/2019 - Thu, Clear Creek Amana High School, Washington, W, 8-0
Away, 05/29/2019 - Wed, Bondurant-Farrar High School, @Bondurant-Farrar, L, 1-2
