Status, Date, Location, Opponent, Outcome, Score
Home, 04/05/2019 - Fri, Lions Field, Garner-Hay.-Ventura, W, 2-0
Home, 04/08/2019 - Mon, Lions Field, Hampton-Dumont/CAL, W, 11-1
Away, 04/18/2019 - Thu, Mason City High School , @Mason City, L, 0-1
Home, 04/22/2019 - Mon, Lions Field, Humboldt, W, 1-0
Home, 04/30/2019 - Tue, Clear Lake High School, Nevada, L, 1-4
Away, 05/02/2019 - Thu, Humboldt Soccer Field, @Humboldt, L, 1-2
Away, 05/06/2019 - Mon, Garner-Hayfield-Ventura High School, @Garner-Hay.-Ventura, W, 2-1
Away, 05/13/2019 - Mon, Aplington-Parkersburg School, @Aplington-Parkersburg, L, 0-4
Home, 05/16/2019 - Thu, Clear Lake High School, Mason City, W, 1-0
Away, 05/17/2019 - Fri, Iowa Falls-Alden High School, @Iowa Falls-Alden, W, 1-0
Home, 05/20/2019 - Mon, Lions Field, Webster City, W, 10-0
Home, 05/23/2019 - Thu, Clear Lake High School, Aplington-Parkersburg, L, 1-5
Away, 05/28/2019 - Tue, Columbus Catholic High School, @Columbus Catholic, L, 0-1
