Status, Date, Location, Opponent, Outcome, Score
Away, 04/01/2019 - Mon, Central DeWitt High School, @Central DeWitt, W, 2-1
Away, 04/05/2019 - Fri, Stephen Hempstead High School, @Dubuque Hempstead, L, 1-2
Away, 04/09/2019 - Tue, Brady Street Stadium, @Davenport Central, L, 0-6
Home, 04/12/2019 - Fri, Clinton High School, Northeast, W, 8-1
Home, 04/16/2019 - Tue, Clinton High School, North Scott, L, 0-1
Away, 04/22/2019 - Mon, Felderman Park, @Marquette Catholic, W, 4-3
Away, 04/23/2019 - Tue, Bracewell Stadium, @Burlington, L, 1-4
Home, 04/27/2019 - Sat, Clinton High School, Rock Island, IL, L, 1-3
Home, 04/30/2019 - Tue, Clinton High School, Davenport West, W, 3-0
Away, 05/03/2019 - Fri, Assumption High School, @Davenport Assumption, L, 0-8
Home, 05/06/2019 - Mon, Clinton High School, Maquoketa, W, 2-1
Home, 05/07/2019 - Tue, Clinton High School, Muscatine, L, 0-6
Home, 05/10/2019 - Fri, Clinton High School, Pleasant Valley, L, 0-5
Away, 05/13/2019 - Mon, Bettendorf High School, @Bettendorf, L, 0-4
Home, 05/17/2019 - Fri, Clinton High School, West Liberty, W, 8-0
Home, 05/21/2019 - Tue, Clinton High School, Davenport North, L, 2-4
Away, 05/29/2019 - Wed, Muscatine Soccer Complex, @Muscatine, L, 0-5
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h201903050124295848a38a505afba4f
