Status, Date, Location, Opponent, Outcome, Score
Home, 04/04/2019 - Thu, Collins-Maxwell High School, Gilbert, L, 0-10
Home, 04/11/2019 - Thu, Collins-Maxwell High School, Ballard, W, 3-1
Away, 04/16/2019 - Tue, Faith Baptist Bible College, @Grand View Christian, W, 7-0
Home, 04/18/2019 - Thu, Collins-Maxwell High School, PCM, Monroe, W, 3-0
Home, 04/19/2019 - Fri, Collins-Maxwell High School, Nevada, L, 1-3
Away, 04/22/2019 - Mon, Atlantic High School, @Atlantic, W, 3-2
Away, 04/25/2019 - Thu, North High School, @Des Moines North, W, 6-3
Away, 05/02/2019 - Thu, Des Moines Christian School, @Des Moines Christian, L, 0-2
Home, 05/06/2019 - Mon, Collins-Maxwell High School, Boone, W, 9-1
Away, 05/11/2019 - Sat, North Polk High School, @Pella Christian, L, 1-2
Away, 05/11/2019 - Sat, North Polk High School, @North Polk, L, 0-6
Home, 05/13/2019 - Mon, Collins-Maxwell High School, Grand View Christian, W, 10-1
Away, 05/14/2019 - Tue, Colfax-Mingo High School, @PCM, W, 3-0
Away, 05/17/2019 - Fri, Panorama High School, @Panorama, W, 3-1
Away, 05/21/2019 - Tue, Chariton High School, @Chariton, Game Cancelled, N/A
Home, 05/23/2019 - Thu, Ballard High School, Boone, W, 10-0
Away, 05/29/2019 - Wed, Perry High School, @Perry, L, 2-4
