Status, Date, Location, Opponent, Outcome, Score
Home, 04/02/2019 - Tue, Columbus Catholic High School, Gladbrook-Reinbeck, L, 0-1
Away, 04/05/2019 - Fri, Martin Sports Complex, @Cedar Valley Christian, W, 4-0
Away, 04/09/2019 - Tue, Hudson Athletic Complex, @Hudson, L, 2-3
Away, 04/15/2019 - Mon, Denver Athletic Complex, @Denver, W, 2-1
Home, 04/17/2019 - Wed, Columbus Catholic High School, Regina Catholic, W, 2-0
Away, 04/22/2019 - Mon, Iowa Falls-Alden High School, @Iowa Falls-Alden, W, 2-1
Home, 04/26/2019 - Fri, Columbus Catholic High School, Aplington-Parkersburg, W, 2-0
Home, 04/29/2019 - Mon, Columbus Catholic High School, Marshalltown, W, 2-0
Home, 05/02/2019 - Thu, Columbus Catholic High School, Hampton-Dumont/CAL, W, 16-0
Away, 05/06/2019 - Mon, Waverly-Shell Rock Senior High School, @Waverly-Shell Rock, L, 1-4
Away, 05/07/2019 - Tue, Union High School, @Union Community, L, 1-2
Away, 05/11/2019 - Sat, Waverly-Shell Rock Senior High School, @Bondurant-Farrar, W, 1-0
Away, 05/11/2019 - Sat, Waverly-Shell Rock Senior High School, @ADM, L, 0-1
Home, 05/11/2019 - Sat, Waverly Soccer Complex, Dubuque Senior, L, 0-3
Home, 05/17/2019 - Fri, Columbus Catholic High School, Wahlert Catholic, L, 0-1
Home, 05/28/2019 - Tue, Columbus Catholic High School, Clear Lake, W, 1-0
Home, 05/31/2019 - Fri, Columbus Catholic High School, Denver, W, 2-0
Away, 06/03/2019 - Mon, Union High School, @Union, L, 0-5
