Status, Date, Location, Opponent, Outcome, Score
Home, 04/01/2019 - Mon, 1208 Colton St, Mount Pleasant, L, 1-2
Home, 04/09/2019 - Tue, 1208 Colton St, Central Lee, W, 4-0
Home, 04/22/2019 - Mon, 1208 Colton St, Fairfield, W, 2-1
Away, 04/23/2019 - Tue, 57 8th St  South Park, @Holy Trinity Catholic, L, 0-4
Away, 04/26/2019 - Fri, WAPELLO JR/SR HIGH SCHOOL, @Wapello, W, 4-1
Home, 05/03/2019 - Fri, 1208 Colton St, Mid-Prairie, L, 2-3
Away, 05/10/2019 - Fri, Assumption High School, @Davenport Assumption, L, 0-10
Away, 05/11/2019 - Sat, West Liberty High School, @Mount Pleasant, L, 0-1
Home, 05/11/2019 - Sat, West Liberty High School, Northeast, W, 2-1
Away, 05/13/2019 - Mon, West Liberty High School, @West Liberty, W, 3-0
Home, 05/17/2019 - Fri, Williamsburg High School, Williamsburg, L, 1-3
Away, 05/20/2019 - Mon, Washington High School, @Washington, W, 2-1
Away, 05/21/2019 - Tue, Wellman Rotary Soccer Fields, @Mid-Prairie, Game Cancelled, N/A
Home, 05/28/2019 - Tue, Assumption High School, Wapello, W, 7-0
Away, 05/31/2019 - Fri, Assumption High School, @Davenport Assumption, L, 0-10
