Status, Date, Location, Opponent, Outcome, Score
Away, 04/01/2019 - Mon, Sioux City East Middle School, @Sioux City, East, L, 0-2
Home, 04/06/2019 - Sat, Thomas Jefferson High School, Southeast Polk, W, 3-2
Home, 04/06/2019 - Sat, Gale Wickersham Athletic Complex, Lewis Central, L, 0-2
Away, 04/08/2019 - Mon, Underwood High School, @Underwood, W, 10-0
Home, 04/09/2019 - Tue, Woodrow Wilson Jr High School, Logan-Magnolia, W, 10-0
Away, 04/16/2019 - Tue, Riverside Elementary School, @Sioux City, West, W, 4-0
Home, 04/23/2019 - Tue, Woodrow Wilson Jr High School, Glenwood, W, 1-0
Home, 04/25/2019 - Thu, Gale Wickersham Athletic Complex, Lewis Central, L, 0-2
Home, 04/26/2019 - Fri, Woodrow Wilson Jr High School, Millard South HS, L, 0-1
Home, 04/29/2019 - Mon, Gale Wickersham Athletic Complex, Sergeant Bluff-Luton, W, 2-0
Away, 05/01/2019 - Wed, Leeds Elementary School, @Sioux City North, W, 1-0
Away, 05/07/2019 - Tue, YMCA Fields, @St. Albert, L, 0-3
Home, 05/13/2019 - Mon, Gale Wickersham Athletic Complex, Missouri Valley, W, 10-0
Home, 05/14/2019 - Tue, Gale Wickersham Athletic Complex, Carroll, W, 10-0
Home, 05/16/2019 - Thu, Gale Wickersham Athletic Complex, East Sac County, W, 10-0
Home, 05/22/2019 - Wed, C Bluffs Wickersham Athletic Complex, Council Bluffs Lincoln, L, 0-1
Home, 05/23/2019 - Thu, Gale Wickersham Athletic Complex, Bishop Heelan, L, 1-2
Home, 05/29/2019 - Wed, C Bluffs Wickersham Athletic Complex, Sioux City North, W, 1-0
Away, 06/03/2019 - Mon, Waukee Stadium, @Waukee, L, 0-3
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h20190305012430360354c0c72985847
