Status, Date, Location, Opponent, Outcome, Score
Away, 04/01/2019 - Mon, Maryville High School, @Maryville (MO) High School, W, 6-3
Home, 04/04/2019 - Thu, Gale Wickersham Athletic Complex, Glenwood, W, 1-0
Home, 04/05/2019 - Fri, Gale Wickersham Athletic Complex, Ankeny Centennial, L, 0-1
Home, 04/06/2019 - Sat, Gale Wickersham Athletic Complex, Waukee, L, 1-2
Home, 04/12/2019 - Fri, Gale Wickersham Athletic Complex, Sioux City West, W, 3-0
Away, 04/16/2019 - Tue, Sergeant Bluff-Luton Senior High School, @Sergeant Bluff-Luton, W, 3-0
Away, 04/19/2019 - Fri, Ralston High School, @TBD, W, 3-1
Away, 04/19/2019 - Fri, Ralston High School, @Ralston (NE) High School, W, 2-0
Away, 04/23/2019 - Tue, Leeds Elementary School, @Sioux City North, W, 3-0
Home, 04/25/2019 - Thu, Gale Wickersham Athletic Complex, Bishop Heelan, W, 3-1
Home, 05/03/2019 - Fri, Gale Wickersham Athletic Complex, Lewis Central, W, 3-2
Home, 05/06/2019 - Mon, Gale Wickersham Athletic Complex, Underwood, W, 10-0
Away, 05/14/2019 - Tue, East Middle School, @Sioux City East, W, 1-0
Home, 05/20/2019 - Mon, C Bluffs Wickersham Athletic Complex, Tri-Center, W, 2-1
Away, 05/22/2019 - Wed, C Bluffs Wickersham Athletic Complex, @Council Bluffs Jefferson, W, 1-0
Away, 05/23/2019 - Thu, YMCA Fields, @St. Albert, W, 6-0
Home, 05/29/2019 - Wed, C Bluffs Wickersham Athletic Complex, Sioux City East, W, 3-1
Home, 06/03/2019 - Mon, C Bluffs Wickersham Athletic Complex, Johnston, W, 2-1
Away, 06/06/2019 - Thu, James. W Cownie Soccer Park - Field 8, @Ankeny Centennial, L, 2-3
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h20190305012430480db72cacf527349
