Status, Date, Location, Opponent, Outcome, Score
Home, 04/01/2019 - Mon, Creston High School, St. Albert, L, 1-11
Away, 04/04/2019 - Thu, Nodaway Valley High School, @Nodaway Valley, L, 1-4
Home, 04/09/2019 - Tue, Creston High School, Kuemper Catholic, L, 2-3
Away, 04/16/2019 - Tue, Chariton High School, @Chariton, W, 3-1
Home, 04/23/2019 - Tue, Creston High School, Lewis Central, L, 0-10
Away, 04/26/2019 - Fri, Denison High School, @Denison-Schleswig, L, 2-3
Home, 04/30/2019 - Tue, Creston High School, Chariton, Game Cancelled, N/A
Away, 05/02/2019 - Thu, Riverside Community High School, @Riverside, W, 8-0
Away, 05/04/2019 - Sat, Creston High School, @Boone, W, 2-0
Home, 05/04/2019 - Sat, Creston High School, Knoxville, L, 0-1
Home, 05/07/2019 - Tue, Creston High School, Atlantic, L, 2-7
Home, 05/09/2019 - Thu, Creston High School, Glenwood, L, 0-9
Away, 05/14/2019 - Tue, Earlham High School, @Winterset, L, 0-5
Home, 05/17/2019 - Fri, Creston High School, Knoxville, L, 0-1
Home, 05/24/2019 - Fri, Creston High School, Harlan, L, 1-3
Away, 05/29/2019 - Wed, Panorama High School, @Panorama, L, 2-3
