Status, Date, Location, Opponent, Outcome, Score
Away, 04/01/2019 - Mon, North Polk High School, @North Polk, L, 0-2
Away, 04/06/2019 - Sat, Thomas Jefferson High School, @Glenwood, W, 4-1
Away, 04/06/2019 - Sat, Gale Wickersham Athletic Complex, @Sioux City East, W, 1-0
Away, 04/09/2019 - Tue, Lacey Sports Complex, @Oskaloosa, W, 3-0
Away, 04/11/2019 - Thu, ADM High School, @ADM, Adel, L, 1-2
Home, 04/15/2019 - Mon, Dallas Center-Grimes Meadows, Grinnell, W, 8-0
Home, 04/22/2019 - Mon, Dallas Center-Grimes Meadows, Winterset, W, 2-1
Home, 04/23/2019 - Tue, Dallas Center-Grimes Meadows, Indianola, W, 3-0
Away, 04/27/2019 - Sat, Urbandale High School, @Urbandale, W, 1-0
Away, 04/29/2019 - Mon, Pella Christian High School, @Pella Christian, W, 2-0
Away, 05/03/2019 - Fri, Bondurant-Farrar High School, @Bondurant-Farrar, W, 3-1
Home, 05/07/2019 - Tue, Dallas Center-Grimes Meadows, Pella, W, 2-1
Away, 05/14/2019 - Tue, Norwalk High School, @Norwalk, W, 3-0
Home, 05/29/2019 - Wed, Dallas Center-Grimes High School, Newton, W, 4-0
Home, 06/03/2019 - Mon, Dallas Center-Grimes High School, Bondurant-Farrar, W, 3-1
Home, 06/06/2019 - Thu, James. W Cownie Soccer Park - Field 7, Pella, W, 1-0
Away, 06/07/2019 - Fri, James. W Cownie Soccer Park - Field 6, @Waverly-Shell Rock, L, 0-1
