Status, Date, Location, Opponent, Outcome, Score
Away, 04/01/2019 - Mon, Burlington Notre Dame Schools, @Burlington Notre Dame, W, 2-1
Away, 04/02/2019 - Tue, North High School Tennis Courts, @Davenport North, W, 3-1
Home, 04/09/2019 - Tue, Assumption High School, Bettendorf, W, 3-1
Home, 04/13/2019 - Sat, Assumption High School, Beckman Catholic, W, 10-0
Home, 04/13/2019 - Sat, Assumption High School, Mount Vernon, W, 10-0
Home, 04/16/2019 - Tue, Assumption High School, Davenport Central, W, 5-0
Home, 04/23/2019 - Tue, Assumption High School, North Scott, W, 6-0
Home, 04/29/2019 - Mon, Assumption High School, Muscatine, W, 5-0
Home, 05/03/2019 - Fri, Assumption High School, Clinton, W, 8-0
Home, 05/06/2019 - Mon, Assumption High School, Pleasant Valley, W, 5-1
Home, 05/10/2019 - Fri, Assumption High School, Columbus, W, 10-0
Away, 05/13/2019 - Mon, West High School, @Davenport West, W, 10-0
Away, 05/17/2019 - Fri, Linn-Mar High School, @Linn-Mar, L, 0-1
Away, 05/21/2019 - Tue, Bracewell Stadium, @Burlington, W, 10-0
Home, 05/22/2019 - Wed, Assumption High School, Cedar Rapids Washington, W, 5-0
Away, 05/24/2019 - Fri, Iowa City Regina High School, @Regina Catholic, Game Cancelled, N/A
Home, 05/28/2019 - Tue, Assumption High School, West Liberty, W, 10-0
Home, 05/31/2019 - Fri, Assumption High School, Columbus, W, 10-0
Home, 06/03/2019 - Mon, Assumption High School, Iowa City Regina, W, 3-0
Home, 06/06/2019 - Thu, James. W Cownie Soccer Park - Field 9, St. Albert, W, 10-0
Home, 06/07/2019 - Fri, James. W Cownie Soccer Park - Field 9, Gilbert, W, 2-0
Home, 06/08/2019 - Sat, James. W Cownie Soccer Park - Field 9, North Polk, W, 1-0
