Status, Date, Location, Opponent, Outcome, Score
Away, 04/02/2019 - Tue, Bettendorf High School, @Bettendorf, L, 1-6
Home, 04/09/2019 - Tue, Brady Street Stadium, Clinton, W, 6-0
Away, 04/12/2019 - Fri, Bracewell Stadium, @Burlington, W, 4-1
Away, 04/16/2019 - Tue, Assumption High School, @Davenport Assumption, L, 0-5
Away, 04/19/2019 - Fri, Kingston Stadium, @Cedar Rapids Washington, L, 0-4
Away, 04/23/2019 - Tue, West High School, @Davenport West, W, 8-0
Away, 04/25/2019 - Thu, Central DeWitt High School, @Central DeWitt, W, 8-1
Home, 04/30/2019 - Tue, Brady Street Stadium, Pleasant Valley, L, 1-2
Home, 05/07/2019 - Tue, Brady Street Stadium, Davenport North, W, 1-0
Away, 05/13/2019 - Mon, Muscatine High School, @Muscatine, L, 0-7
Away, 05/18/2019 - Sat, Brady Street Stadium, @Dubuque Hempstead, L, 0-2
Away, 05/21/2019 - Tue, North Scott Senior High School, @North Scott, L, 0-4
Home, 05/23/2019 - Thu, Davenport Brady St. Stadium, Cedar Rapids Washington, W, 3-2
Away, 05/29/2019 - Wed, Pleasant Valley High School, @Pleasant Valley, L, 0-1
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h2019030501243099897d1079bcd4e4b
