Status, Date, Location, Opponent, Outcome, Score
Home, 04/02/2019 - Tue, North High School Tennis Courts, Davenport Assumption, L, 1-3
Away, 04/04/2019 - Thu, Dubuque Senior High School, @Dubuque Senior, L, 0-2
Away, 04/05/2019 - Fri, Wahlert Catholic High School, @Wahlert Catholic, L, 0-2
Away, 04/09/2019 - Tue, Muscatine High School, @Muscatine, L, 0-5
Away, 04/15/2019 - Mon, Iowa City High, @Iowa City, City High, L, 0-4
Away, 04/16/2019 - Tue, Bettendorf High School, @Bettendorf, L, 0-3
Home, 04/19/2019 - Fri, North High School Tennis Courts, Cedar Rapids Jefferson, W, 4-1
Home, 04/23/2019 - Tue, North High School, Pleasant Valley, L, 0-8
Away, 04/26/2019 - Fri, , @Rock Island High School Rocks, W, 4-2
Away, 04/30/2019 - Tue, North Scott Senior High School, @North Scott, L, 0-3
Home, 05/02/2019 - Thu, North High School Tennis Courts, Davenport West, W, 4-0
Away, 05/07/2019 - Tue, Brady Street Stadium, @Davenport Central, L, 0-1
Away, 05/09/2019 - Thu, , @Moline High School, L, 0-4
Home, 05/10/2019 - Fri, North High School Tennis Courts, Fort Madison, W, 4-1
Home, 05/13/2019 - Mon, North High School Tennis Courts, Burlington, W, 3-0
Home, 05/15/2019 - Wed, North High School Tennis Courts, Iowa City Regina, L, 1-2
Away, 05/21/2019 - Tue, Clinton High School, @Clinton, W, 4-2
Away, 05/23/2019 - Thu, Central DeWitt High School, @Central DeWitt, W, 2-0
Away, 05/28/2019 - Tue, Robert W. Plaster Athletic Complex, @Xavier, L, 0-2
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h20190305012431160b82a40f217084b
