Status, Date, Location, Opponent, Outcome, Score
Home, 04/02/2019 - Tue, West High School, North Scott, L, 0-5
Away, 04/09/2019 - Tue, Pleasant Valley High School, @Pleasant Valley, L, 0-10
Home, 04/13/2019 - Sat, , Rock Island High School Rocks, L, 1-2
Home, 04/13/2019 - Sat, , Chicago Christian , L, 1-3
Home, 04/13/2019 - Sat, , United Township JV, W, 1-0
Home, 04/16/2019 - Tue, West High School, Muscatine, L, 0-8
Away, 04/18/2019 - Thu, , @Rock Island High School, L, 1-7
Home, 04/23/2019 - Tue, West High School, Davenport Central, L, 0-8
Away, 04/29/2019 - Mon, Burlington Notre Dame Schools, @Burlington Notre Dame, L, 0-10
Away, 04/30/2019 - Tue, Clinton High School, @Clinton, L, 0-3
Away, 05/02/2019 - Thu, North High School Tennis Courts, @Davenport North, L, 0-4
Away, 05/07/2019 - Tue, Bracewell Stadium, @Burlington, L, 0-9
Home, 05/09/2019 - Thu, West High School, Northeast, W, 2-0
Home, 05/13/2019 - Mon, West High School, Davenport Assumption, L, 0-10
Away, 05/14/2019 - Tue, Baxter Sports Complex, @Fort Madison, L, 0-3
Home, 05/16/2019 - Thu, West High School, Central DeWitt, L, 0-2
Home, 05/22/2019 - Wed, West High School, Bettendorf, L, 0-10
Away, 05/29/2019 - Wed, Bettendorf High School, @Bettendorf, L, 0-11
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h2019030501243123382ef2b25c3a34d
