Status, Date, Location, Opponent, Outcome, Score
Home, 04/02/2019 - Tue, Decorah High School, Waverly-Shell Rock, L, 0-1
Home, 04/06/2019 - Sat, Decorah High School, Dubuque Senior, L, 1-2
Away, 04/08/2019 - Mon, Independence JR / SR High School, @Independence, W, 1-0
Away, 04/15/2019 - Mon, Memorial Stadium, @Waterloo East, W, 2-1
Away, 04/18/2019 - Thu, Stephen Hempstead High School, @Dubuque Hempstead, L, 0-1
Home, 04/22/2019 - Mon, Decorah High School, Denver, L, 0-3
Home, 04/26/2019 - Fri, Decorah High School, Gladbrook-Reinbeck, W, 2-1
Home, 05/02/2019 - Thu, Decorah High School, Union Community, L, 0-5
Away, 05/11/2019 - Sat, Waverly Soccer Complex, @ADM, L, 0-1
Home, 05/11/2019 - Sat, Waverly-Shell Rock Senior High School, Bondurant-Farrar, L, 0-2
Home, 05/11/2019 - Sat, Waverly-Shell Rock Senior High School, Independence, W, 1-0
Away, 05/13/2019 - Mon, Denver Athletic Complex, @Denver, W, 1-0
Away, 05/17/2019 - Fri, Waverly-Shell Rock Senior High School, @Waverly-Shell Rock, L, 0-8
Home, 05/21/2019 - Tue, Decorah High School, West Delaware, W, 10-0
Home, 05/23/2019 - Thu, Independence High School, Western Dubuque, W, 2-0
Away, 05/28/2019 - Tue, Waverly Soccer Complex, @Waverly-Shell Rock, L, 0-6
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h2019030501243135043a1a52030f04f
