Status, Date, Location, Opponent, Outcome, Score
Away, 04/02/2019 - Tue, Lewis Central High School, @Lewis Central, L, 0-10
Home, 04/04/2019 - Thu, Denison High School, St. Albert, L, 0-8
Home, 04/09/2019 - Tue, Denison High School, Glenwood, L, 0-10
Away, 04/23/2019 - Tue, Carroll Athletic Stadium, @Carroll, W, 7-0
Away, 04/25/2019 - Thu, Underwood High School, @Underwood, W, 6-1
Home, 04/26/2019 - Fri, Denison High School, Creston, W, 3-2
Home, 04/29/2019 - Mon, Denison High School, Sioux City West, L, 2-3
Home, 04/30/2019 - Tue, Denison High School, Harlan, L, 0-1
Away, 05/02/2019 - Thu, Leeds Elementary School, @Sioux City North, L, 0-2
Home, 05/03/2019 - Fri, Denison High School, Missouri Valley, W, 7-0
Away, 05/13/2019 - Mon, Tri-Center Community School District, @Tri-Center, L, 1-10
Home, 05/20/2019 - Mon, Denison High School, Atlantic, W, 7-5
Home, 05/21/2019 - Tue, Denison High School, Kuemper Catholic, L, 0-1
Home, 05/28/2019 - Tue, Denison High School, Carroll, W, 6-1
Away, 06/03/2019 - Mon, Spencer Senior High School, @Spencer, L, 0-9
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h20190305012431612a35a0ffbd26d40
