Status, Date, Location, Opponent, Outcome, Score
Away, 04/08/2019 - Mon, West Branch High School, @West Branch, W, 5-1
Home, 04/09/2019 - Tue, Denver Athletic Complex, Aplington-Parkersburg, W, 6-0
Home, 04/15/2019 - Mon, Denver Athletic Complex, Columbus Catholic, L, 1-2
Home, 04/18/2019 - Thu, Denver Athletic Complex, Gladbrook-Reinbeck, L, 0-2
Away, 04/22/2019 - Mon, Decorah High School, @Decorah, W, 3-0
Home, 04/25/2019 - Thu, Denver Athletic Complex, Waverly-Shell Rock, L, 0-4
Away, 04/29/2019 - Mon, Hampton-Dumont High School, @Hampton-Dumont/CAL, W, 13-0
Away, 05/02/2019 - Thu, Downing Field, @Anamosa, W, 10-0
Away, 05/07/2019 - Tue, Hudson Athletic Complex, @Hudson, W, 3-0
Home, 05/10/2019 - Fri, Denver Athletic Complex, Garner-Hayfield-Ventura, W, 10-0
Home, 05/13/2019 - Mon, Denver Athletic Complex, Decorah, L, 0-1
Away, 05/23/2019 - Thu, Gladbrook-Reinbeck Community School, @Gladbrook-Reinbeck, W, 2-0
Home, 05/28/2019 - Tue, Denver Athletic Complex, Aplington-Parkersburg, W, 4-0
Away, 05/31/2019 - Fri, Columbus Catholic High School, @Columbus Catholic, L, 0-2
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h20190305012431808145a956610de43
