Status, Date, Location, Opponent, Outcome, Score
Home, 04/01/2019 - Mon, Des Moines Christian School, Pella Christian, L, 2-3
Home, 04/04/2019 - Thu, Des Moines Christian School, AHSTW, W, 5-1
Away, 04/09/2019 - Tue, Knoxville High School, @Knoxville, W, 4-1
Away, 04/11/2019 - Thu, H. A. Lynn Stadium, @Newton, L, 0-2
Away, 04/15/2019 - Mon, North High School, @Des Moines North, W, 2-1
Home, 04/16/2019 - Tue, Des Moines Christian School, PCM, Monroe, W, 3-0
Home, 04/18/2019 - Thu, Des Moines Christian School, Carlisle, W, 2-0
Away, 04/22/2019 - Mon, Perry High School, @Perry, W, 1-0
Away, 04/25/2019 - Thu, Herbert Hoover High School, @Des Moines Hoover, W, 6-1
Away, 04/30/2019 - Tue, Nodaway Valley High School, @Nodaway Valley, W, 4-1
Home, 05/02/2019 - Thu, Des Moines Christian School, Collins-Maxwell, W, 2-0
Away, 05/06/2019 - Mon, Panorama High School, @Panorama, W, 3-0
Home, 05/09/2019 - Thu, Des Moines Christian School, Greene County, W, 7-0
Away, 05/14/2019 - Tue, Bondurant-Farrar High School, @Bondurant-Farrar, L, 0-1
Away, 05/23/2019 - Thu, Pella Christian High School, @Pella Christian, W, 2-1
Home, 05/24/2019 - Fri, Des Moines Christian School, Grand View Christian, W, 10-0
Home, 05/29/2019 - Wed, Des Moines Christian School, Chariton, W, 5-0
Home, 05/31/2019 - Fri, Des Moines Christian School, WCV-NV-AC, W, 3-0
Away, 06/03/2019 - Mon, North Polk High School, @North Polk, L, 0-5
