Status, Date, Location, Opponent, Outcome, Score
Home, 04/02/2019 - Tue, East High School, Southeast Polk, L, 0-9
Away, 04/06/2019 - Sat, Gale Wickersham Athletic Complex, @Underwood, W, 5-3
Neutral, 04/06/2019 - Sat, Gale Wickersham Athletic Complex, Sioux City North, L, 3-7
Home, 04/16/2019 - Tue, East High School, Mason City, L, 1-2
Away, 04/19/2019 - Fri, Ankeny High School, @Ankeny, L, 0-10
Away, 04/22/2019 - Mon, Urbandale High School, @Urbandale, L, 1-11
Home, 04/23/2019 - Tue, East High School, Des Moines Lincoln, W, 3-2
Home, 04/26/2019 - Fri, James. W Cownie Soccer Park, Des Moines Roosevelt, L, 0-9
Away, 05/02/2019 - Thu, Indianola Stadium, @Indianola, L, 1-2
Home, 05/03/2019 - Fri, East High School, Marshalltown, W, 1-0
Home, 05/07/2019 - Tue, East High School, Ottumwa, W, 2-1
Away, 05/10/2019 - Fri, Herbert Hoover High School, @Des Moines Hoover, W, 4-3
Away, 05/13/2019 - Mon, North High School, @Des Moines North, W, 10-3
Home, 05/14/2019 - Tue, Fort Dodge Senior High School, Fort Dodge, W, 3-1
Home, 05/17/2019 - Fri, East High School, Ames, L, 0-10
Away, 05/21/2019 - Tue, Waukee Stadium, @Waukee, Game Cancelled, N/A
Home, 05/23/2019 - Thu, East High School, Des Moines North, W, 5-2
Away, 05/29/2019 - Wed, West Des Moines Valley Stadium, @Valley, L, 0-10
