Status, Date, Location, Opponent, Outcome, Score
Away, 04/01/2019 - Mon, Panorama High School, @Panorama, L, 0-5
Home, 04/04/2019 - Thu, Herbert Hoover High School, Chariton, W, 4-1
Home, 04/16/2019 - Tue, , Johnston, L, 0-14
Away, 04/23/2019 - Tue, Walsh Soccer Field, @Ottumwa, L, 1-3
Home, 04/25/2019 - Thu, Herbert Hoover High School, Des Moines Christian, L, 1-6
Away, 04/26/2019 - Fri, James. W Cownie Soccer Park, @Des Moines Lincoln, L, 0-4
Away, 04/30/2019 - Tue, James. W Cownie Soccer Park, @Des Moines Roosevelt, L, 0-10
Home, 05/03/2019 - Fri, Herbert Hoover High School, Ankeny Centennial, L, 0-9
Home, 05/07/2019 - Tue, Herbert Hoover High School, Des Moines North, W, 7-3
Home, 05/10/2019 - Fri, Herbert Hoover High School, Des Moines East, L, 3-4
Away, 05/14/2019 - Tue, Ankeny High School, @Ankeny, L, 0-12
Away, 05/21/2019 - Tue, Urbandale High School, @Urbandale, Game Cancelled, N/A
Away, 05/23/2019 - Thu, Carlisle High School, @Carlisle, L, 0-7
