Status, Date, Location, Opponent, Outcome, Score
Away, 04/05/2019 - Fri, Norwalk High School, @Norwalk, L, 0-5
Away, 04/13/2019 - Sat, H. A. Lynn Stadium, @Newton, W, 2-1
Away, 04/13/2019 - Sat, Newton High School, @Perry, W, 2-1
Home, 04/16/2019 - Tue, James. W Cownie Soccer Park, Southeast Polk, L, 0-5
Away, 04/18/2019 - Thu, Dowling Catholic High School, @Dowling Catholic, L, 0-10
Away, 04/23/2019 - Tue, East High School, @Des Moines East, L, 2-3
Home, 04/25/2019 - Thu, James. W Cownie Soccer Park, Indianola, W, 3-1
Home, 04/26/2019 - Fri, James. W Cownie Soccer Park, Des Moines Hoover, W, 4-0
Home, 05/03/2019 - Fri, Des Moines Abraham Lincoln HS, Mason City, L, 0-4
Away, 05/06/2019 - Mon, Walsh High School, @Ottumwa, W, 6-2
Home, 05/07/2019 - Tue, James. W Cownie Soccer Park, Des Moines Roosevelt, L, 3-4
Away, 05/10/2019 - Fri, North High School, @Des Moines North, W, 7-0
Away, 05/14/2019 - Tue, Valley Stadium, @Valley, L, 0-8
Away, 05/21/2019 - Tue, Dodger Stadium, @Fort Dodge, Game Cancelled, N/A
Home, 05/23/2019 - Thu, Des Moines Abraham Lincoln HS, Des Moines Roosevelt, L, 0-9
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h20190305012432298f1ca1daf8a4546
