Status, Date, Location, Opponent, Outcome, Score
Away, 04/01/2019 - Mon, Chariton High School, @Chariton, Game Cancelled, N/A
Away, 04/02/2019 - Tue, Indianola Stadium, @Indianola, L, 2-7
Home, 04/04/2019 - Thu, North High School, Grand View Christian, W, 7-1
Home, 04/09/2019 - Tue, North High School, Perry, L, 0-7
Home, 04/15/2019 - Mon, North High School, Des Moines Christian, L, 1-2
Away, 04/19/2019 - Fri, Mason City High School , @Mason City, W, 5-4
Home, 04/23/2019 - Tue, North High School, Des Moines Roosevelt, L, 1-8
Home, 04/25/2019 - Thu, North High School, Collins-Maxwell, L, 3-6
Away, 04/26/2019 - Fri, Walsh Soccer Field, @Ottumwa, W, 3-2
Home, 05/02/2019 - Thu, North High School, Grand View Christian, Game Cancelled, N/A
Away, 05/07/2019 - Tue, Herbert Hoover High School, @Des Moines Hoover, L, 3-7
Home, 05/10/2019 - Fri, North High School, Des Moines Lincoln, L, 0-7
Home, 05/13/2019 - Mon, North High School, Des Moines East, L, 3-10
Away, 05/14/2019 - Tue, Dowling Catholic High School, @Dowling Catholic, L, 0-8
Home, 05/16/2019 - Thu, North High School, Oskaloosa, L, 1-2
Away, 05/21/2019 - Tue, Clarke Community Middle/High School, @Clarke, Game Cancelled, N/A
Away, 05/23/2019 - Thu, East High School, @Des Moines East, L, 2-5
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h20190305012432382412bbbe5714045
