Status, Date, Location, Opponent, Outcome, Score
Away, 04/01/2019 - Mon, Norwalk High School, @Norwalk, L, 0-1
Away, 04/09/2019 - Tue,  Martin Marietta Soccer Complex  East Court Avenue Winterset, Iowa 50273, @Winterset, L, 1-3
Neutral, 04/13/2019 - Sat, James. W Cownie Soccer Park, North Polk, L, 0-2
Home, 04/13/2019 - Sat, James. W Cownie Soccer Park, Ankeny, L, 1-4
Home, 04/16/2019 - Tue, James. W Cownie Soccer Park, Marshalltown, W, 7-0
Away, 04/19/2019 - Fri, Urbandale High School, @Urbandale, L, 1-2
Away, 04/23/2019 - Tue, North High School, @Des Moines North, W, 8-1
Away, 04/26/2019 - Fri, James. W Cownie Soccer Park, @Des Moines East, W, 9-0
Home, 04/30/2019 - Tue, James. W Cownie Soccer Park, Des Moines Hoover, W, 10-0
Home, 05/03/2019 - Fri, James. W Cownie Soccer Park, Southeast Polk, L, 1-4
Away, 05/07/2019 - Tue, James. W Cownie Soccer Park, @Des Moines Lincoln, W, 4-3
Home, 05/09/2019 - Thu, James. W Cownie Soccer Park, Pella, L, 1-2
Home, 05/10/2019 - Fri, James. W Cownie Soccer Park, Ottumwa, W, 10-0
Away, 05/14/2019 - Tue, Waukee Stadium, @Waukee, L, 0-4
Home, 05/17/2019 - Fri, James. W Cownie Soccer Park, Johnston, Game Cancelled, N/A
Away, 05/21/2019 - Tue, Valley Stadium, @Valley, Game Cancelled, N/A
Away, 05/23/2019 - Thu, Des Moines Abraham Lincoln HS, @Des Moines Lincoln, W, 9-0
Away, 05/29/2019 - Wed, Waukee Stadium, @Waukee, L, 0-2
