Status, Date, Location, Opponent, Outcome, Score
Away, 04/04/2019 - Thu, Xavier High School, @Xavier, W, 4-3
Away, 04/11/2019 - Thu, Southeast Polk High School, @Southeast Polk, W, 2-0
Away, 04/16/2019 - Tue, Fort Dodge Senior High School, @Fort Dodge, W, 10-0
Home, 04/18/2019 - Thu, Dowling Catholic High School, Des Moines Lincoln, W, 10-0
Away, 04/23/2019 - Tue, Ankeny High School, @Ankeny, L, 0-1
Home, 04/26/2019 - Fri, Dowling Catholic High School, Johnston, W, 1-0
Away, 04/30/2019 - Tue, Ankeny Centennial High School, @Ankeny Centennial, W, 2-1
Away, 05/03/2019 - Fri, Valley Stadium, @Valley, L, 0-1
Away, 05/07/2019 - Tue, Urbandale High School, @Urbandale, L, 0-1
Away, 05/09/2019 - Thu, Ames High School, @Ames, W, 2-0
Home, 05/13/2019 - Mon, Dowling Catholic High School, Waukee, W, 2-1
Home, 05/14/2019 - Tue, Dowling Catholic High School, Des Moines North, W, 8-0
Neutral, 05/17/2019 - Fri, Linn-Mar High School, Bettendorf, W, 4-1
Neutral, 05/18/2019 - Sat, Kingston Stadium, Pleasant Valley, W, 1-0
Home, 05/21/2019 - Tue, Dowling Catholic High School, Ottumwa, Game Cancelled, N/A
Home, 05/29/2019 - Wed, Dowling Catholic High School, Indianola, W, 8-0
Home, 06/03/2019 - Mon, Dowling Catholic High School, Iowa City West, W, 3-0
Away, 06/06/2019 - Thu, James. W Cownie Soccer Park - Field 6, @Valley, W, 2-1
Home, 06/07/2019 - Fri, James. W Cownie Soccer Park - Field 6, Ankeny, L, 0-2
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h201903050124326709698f4d26fc049
