Status, Date, Location, Opponent, Outcome, Score
Home, 04/02/2019 - Tue, Stephen Hempstead High School, Cedar Falls, L, 0-1
Home, 04/05/2019 - Fri, Stephen Hempstead High School, Clinton, W, 2-1
Away, 04/09/2019 - Tue, Western Dubuque High School, @Western Dubuque, L, 1-2
Away, 04/11/2019 - Thu, Cedar Rapids Prairie  High School, @Prairie, L, 0-1
Home, 04/16/2019 - Tue, Dubuque Soccer Complex, Waterloo East, L, 2-3
Home, 04/18/2019 - Thu, Stephen Hempstead High School, Decorah, W, 1-0
Away, 04/23/2019 - Tue, Dubuque Senior High School, @Dubuque Senior, L, 2-3
Away, 04/30/2019 - Tue, Liberty High School, @Iowa City Liberty, W, 5-0
Home, 05/03/2019 - Fri, Stephen Hempstead High School, Cedar Rapids Jefferson, W, 4-1
Away, 05/07/2019 - Tue, Coe College, @Cedar Rapids Kennedy, L, 1-3
Home, 05/10/2019 - Fri, Stephen Hempstead High School, Iowa City West, L, 0-1
Away, 05/14/2019 - Tue, Linn-Mar High School, @Linn-Mar, L, 1-3
Home, 05/16/2019 - Thu, Stephen Hempstead High School, Wahlert Catholic, W, 1-0
Home, 05/18/2019 - Sat, Brady Street Stadium, Davenport Central, W, 2-0
Away, 05/21/2019 - Tue, Xavier High School, @Xavier, L, 2-4
Away, 05/23/2019 - Thu, Dalzell Field, @Dubuque Senior, W, 1-0
Home, 05/29/2019 - Wed, Linn-Mar High School, Linn-Mar, L, 0-2
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h201903050124327985eac9ad0dfc240
