Status, Date, Location, Opponent, Outcome, Score
Home, 04/04/2019 - Thu, Dubuque Senior High School, Davenport North, W, 2-0
Away, 04/06/2019 - Sat, Decorah High School, @Decorah, W, 2-1
Away, 04/09/2019 - Tue, Wahlert Catholic High School, @Wahlert Catholic, W, 2-1
Home, 04/12/2019 - Fri, Dubuque Senior High School, Linn-Mar, L, 0-3
Away, 04/16/2019 - Tue, Liberty High School, @Iowa City Liberty, W, 7-0
Home, 04/23/2019 - Tue, Dubuque Senior High School, Dubuque Hempstead, W, 3-2
Home, 04/25/2019 - Thu, Dubuque Senior High School, Cedar Falls, W, 4-1
Home, 05/03/2019 - Fri, Dubuque Senior High School, Cedar Rapids Washington, W, 1-0
Away, 05/07/2019 - Tue, Cedar Rapids Prairie  High School, @Prairie, L, 1-3
Home, 05/10/2019 - Fri, Dubuque Senior High School, Iowa City, City High, W, 3-1
Home, 05/11/2019 - Sat, Waverly Soccer Complex, Hudson, W, 2-1
Away, 05/11/2019 - Sat, Waverly Soccer Complex, @Union, L, 0-3
Away, 05/11/2019 - Sat, Waverly Soccer Complex, @Columbus Catholic, W, 3-0
Away, 05/14/2019 - Tue, Memorial Stadium, @Waterloo East, W, 5-1
Home, 05/16/2019 - Thu, Dubuque Senior High School, Western Dubuque, W, 3-1
Away, 05/20/2019 - Mon, Xavier High School, @Xavier, L, 0-3
Away, 05/21/2019 - Tue, Linn-Mar Stadium, @Cedar Rapids Kennedy, Game Cancelled, N/A
Home, 05/23/2019 - Thu, Dalzell Field, Dubuque Hempstead, L, 0-1
