Status, Date, Location, Opponent, Outcome, Score
Away, 04/04/2019 - Thu, Panorama High School, @Panorama, L, 0-10
Home, 04/08/2019 - Mon, East Sac County- WL Athletic Complex, Nodaway Valley, L, 1-11
Away, 04/15/2019 - Mon, Carroll Athletic Stadium, @Carroll, L, 0-3
Away, 04/16/2019 - Tue, Carroll Athletic Stadium, @Kuemper Catholic, L, 0-4
Home, 04/23/2019 - Tue, East Sac County- WL Athletic Complex, Sioux City West, L, 0-8
Home, 05/02/2019 - Thu, East Sac County- WL Athletic Complex, Fort Dodge, L, 3-4
Home, 05/07/2019 - Tue, East Sac County- WL Athletic Complex, Humboldt, L, 0-4
Home, 05/10/2019 - Fri, East Sac County- WL Athletic Complex, Logan-Magnolia, L, 1-3
Away, 05/11/2019 - Sat, Grand Junction, IA, @Greene County, L, 0-4
Home, 05/13/2019 - Mon, East Sac County- WL Athletic Complex, West Sioux, W, 1-0
Away, 05/16/2019 - Thu, Gale Wickersham Athletic Complex, @Council Bluffs Jefferson, L, 0-10
Away, 05/29/2019 - Wed, Gilbert High School, @Gilbert, L, 0-11
