Status, Date, Location, Opponent, Outcome, Score
Home, 04/04/2019 - Thu, Dexter Soccer Complex, Fort Madison, W, 3-1
Away, 04/08/2019 - Mon, East Lake Park, @Mount Pleasant, L, 1-2
Away, 04/09/2019 - Tue, Dexter Soccer Complex, @Ottumwa, W, 3-2
Away, 04/11/2019 - Thu, Washington High School, @Washington, L, 1-4
Home, 04/16/2019 - Tue, Dexter Soccer Complex, Knoxville, L, 0-1
Home, 04/18/2019 - Thu, Dexter Soccer Complex, Keokuk, W, 1-0
Away, 04/22/2019 - Mon, 1208 Colton St, @Columbus, L, 1-2
Home, 04/25/2019 - Thu, Dexter Soccer Complex, Mount Pleasant, L, 1-3
Away, 05/02/2019 - Thu, Lacey Sports Complex, @Oskaloosa, L, 2-3
Home, 05/06/2019 - Mon, Dexter Soccer Complex, Centerville, W, 8-1
Away, 05/13/2019 - Mon, Keokuk High School, @Keokuk, W, 9-0
Home, 05/16/2019 - Thu, Dexter Soccer Complex, Washington, W, 2-1
Away, 05/17/2019 - Fri, Baxter Sports Complex, @Fort Madison, W, 2-1
Away, 05/23/2019 - Thu, Mount Pleasant High School, @Mount Pleasant, L, 1-2
