Status, Date, Location, Opponent, Outcome, Score
Away, 04/02/2019 - Tue, Ankeny Centennial High School, @Ankeny Centennial, L, 0-11
Home, 04/04/2019 - Thu, Fort Dodge Senior High School, Humboldt, L, 0-3
Away, 04/15/2019 - Mon, Leeds Elementary School, @Sioux City North, L, 0-7
Home, 04/16/2019 - Tue, Fort Dodge Senior High School, Dowling Catholic, L, 0-10
Home, 04/23/2019 - Tue, Dodger Stadium, Waukee, L, 0-10
Away, 04/26/2019 - Fri, Fort Dodge Senior High School, @Marshalltown, L, 0-1
Away, 04/30/2019 - Tue, Southeast Polk High School, @Southeast Polk, L, 0-10
Away, 05/02/2019 - Thu, East Sac County- WL Athletic Complex, @East Sac County, W, 4-3
Home, 05/03/2019 - Fri, Fort Dodge Senior High School, Ankeny, L, 0-10
Home, 05/07/2019 - Tue, Fort Dodge Senior High School, Valley, L, 0-10
Away, 05/10/2019 - Fri, Mason City High School, @Mason City, L, 0-7
Away, 05/14/2019 - Tue, Fort Dodge Senior High School, @Des Moines East, L, 1-3
Home, 05/21/2019 - Tue, Dodger Stadium, Des Moines Lincoln, Game Cancelled, N/A
Away, 05/29/2019 - Wed, Ankeny Centennial High School, @Ankeny Centennial, L, 0-13
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h20190305012433214170770712dbc44
