Status, Date, Location, Opponent, Outcome, Score
Home, 04/01/2019 - Mon, Baxter Sports Complex, Canton R-V High School, W, 3-1
Away, 04/04/2019 - Thu, Dexter Soccer Complex, @Fairfield, L, 1-3
Home, 04/09/2019 - Tue, Baxter Sports Complex, Mediapolis, W, 3-2
Away, 04/12/2019 - Fri, Central Lee High School, @Central Lee, W, 7-0
Away, 04/15/2019 - Mon, East Lake Park, @Mount Pleasant, L, 0-2
Away, 04/18/2019 - Thu, Washington High School, @Washington, W, 2-0
Home, 04/22/2019 - Mon, Baxter Sports Complex, Iowa City Liberty, L, 0-3
Away, 04/25/2019 - Thu, Keokuk High School, @Keokuk, W, 2-1
Away, 05/02/2019 - Thu, Bracewell Stadium, @Burlington, L, 1-5
Home, 05/06/2019 - Mon, Baxter Sports Complex, Washington, W, 3-0
Home, 05/07/2019 - Tue, Baxter Sports Complex, Mount Pleasant, W, 1-0
Away, 05/10/2019 - Fri, North High School Tennis Courts, @Davenport North, L, 1-4
Home, 05/14/2019 - Tue, Baxter Sports Complex, Davenport West, W, 3-0
Away, 05/16/2019 - Thu, 57 8th St  South Park, @Holy Trinity Catholic, L, 1-7
Home, 05/17/2019 - Fri, Baxter Sports Complex, Fairfield, L, 1-2
Home, 05/20/2019 - Mon, Baxter Sports Complex, Keokuk, W, 2-0
Away, 05/23/2019 - Thu, Burlington High School, @Burlington, L, 0-6
