Status, Date, Location, Opponent, Outcome, Score
Home, 04/01/2019 - Mon, Garner-Hayfield-Ventura High School, Hampton-Dumont/CAL, W, 10-0
Away, 04/05/2019 - Fri, Lions Field, @Clear Lake, L, 0-2
Home, 04/09/2019 - Tue, Garner-Hayfield-Ventura High School, Webster City, W, 10-0
Away, 04/15/2019 - Mon, Iowa Falls-Alden High School, @Iowa Falls-Alden, L, 0-1
Home, 04/18/2019 - Thu, Garner-Hayfield-Ventura High School, Hampton-Dumont/CAL, W, 8-0
Away, 04/23/2019 - Tue, Aplington-Parkersburg School, @Aplington-Parkersburg, L, 0-5
Home, 04/25/2019 - Thu, Humboldt Soccer Field, Humboldt, L, 0-2
Home, 04/29/2019 - Mon, Garner-Hayfield-Ventura Junior High School, Mason City, L, 1-6
Home, 05/02/2019 - Thu, Garner-Hayfield-Ventura Junior High School, Aplington-Parkersburg, L, 1-5
Home, 05/06/2019 - Mon, Garner-Hayfield-Ventura High School, Clear Lake, L, 1-2
Away, 05/10/2019 - Fri, Denver Athletic Complex, @Denver, L, 0-10
Away, 05/13/2019 - Mon, Webster City High School, @Webster City, W, 8-1
Home, 05/16/2019 - Thu, Garner-Hayfield-Ventura High School, Humboldt, L, 1-3
Away, 05/17/2019 - Fri, Mason City High School , @Mason City, L, 0-4
Away, 05/28/2019 - Tue, Humboldt Soccer Field, @Humboldt, W, 1-0
Away, 05/31/2019 - Fri, Gladbrook-Reinbeck High School, @GC-GR, L, 0-9
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h20190305012433551242cfce8cccc4e
