Status, Date, Location, Opponent, Outcome, Score
Home, 04/01/2019 - Mon, Gilbert High School, Webster City, W, 11-1
Away, 04/04/2019 - Thu, Collins-Maxwell High School, @Collins-Maxwell, W, 10-0
Away, 04/09/2019 - Tue, Boone High School, @Boone, W, 10-0
Away, 04/13/2019 - Sat, ADM High School, @Pella, W, 2-1
Away, 04/13/2019 - Sat, ADM High School, @St. Albert, W, 4-3
Away, 04/16/2019 - Tue, ADM High School, @ADM, W, 1-0
Home, 04/23/2019 - Tue, Gilbert High School, Winterset, W, 1-0
Away, 04/25/2019 - Thu, Greene County High School, @Greene County, W, 10-0
Home, 05/02/2019 - Thu, Gilbert High School, Perry, W, 5-1
Away, 05/07/2019 - Tue, North Polk High School, @North Polk, W, 2-0
Away, 05/13/2019 - Mon, Indianola Stadium, @Indianola, W, 8-0
Home, 05/16/2019 - Thu, Gilbert High School, PCM, W, 1-0
Away, 05/20/2019 - Mon, Nevada SCORE Recreation Complex, @Nevada, W, 5-0
Home, 05/21/2019 - Tue, Gilbert High School, Bondurant-Farrar, W, 3-0
Away, 05/23/2019 - Thu, Iowa Falls-Alden High School, @Iowa Falls-Alden, W, 2-0
Home, 05/29/2019 - Wed, Gilbert High School, East Sac County, W, 11-0
Home, 05/31/2019 - Fri, Gilbert High School, Kuemper Catholic, W, 4-1
Home, 06/03/2019 - Mon, Gilbert High School, GC-GR, W, 3-0
Home, 06/06/2019 - Thu, James. W Cownie Soccer Park - Field 8, Union, W, 1-0
Away, 06/07/2019 - Fri, James. W Cownie Soccer Park - Field 9, @Davenport Assumption, L, 0-2
