Status, Date, Location, Opponent, Outcome, Score
Away, 04/02/2019 - Tue, Columbus Catholic High School, @Columbus Catholic, W, 1-0
Home, 04/05/2019 - Fri, Gladbrook-Reinbeck Community School, Grand View Christian, W, 10-0
Away, 04/09/2019 - Tue, Martin Sports Complex, @Cedar Valley Christian, W, 7-0
Home, 04/16/2019 - Tue, Gladbrook-Reinbeck Community School, Hudson, W, 4-0
Away, 04/18/2019 - Thu, Denver Athletic Complex, @Denver, W, 2-0
Home, 04/23/2019 - Tue, Gladbrook-Reinbeck Community School, Hampton-Dumont/CAL, W, 14-0
Away, 04/25/2019 - Thu, Union High School, @Union Community, L, 0-6
Away, 04/26/2019 - Fri, Decorah High School, @Decorah, L, 1-2
Away, 04/30/2019 - Tue, Waverly-Shell Rock Senior High School, @Waverly-Shell Rock, L, 0-10
Away, 05/04/2019 - Sat, Vinton-Shellsburg High School, @Anamosa, W, 11-1
Away, 05/04/2019 - Sat, Vinton-Shellsburg High School, @Vinton-Shellsburg, W, 6-2
Away, 05/11/2019 - Sat, Waverly Soccer Complex, @Iowa City Regina, L, 1-2
Away, 05/11/2019 - Sat, Waverly-Shell Rock Senior High School, @Western Dubuque, W, 5-0
Away, 05/11/2019 - Sat, Waverly-Shell Rock Senior High School, @Solon, W, 4-0
Away, 05/16/2019 - Thu, Hudson Athletic Complex , @Hudson, W, 3-1
Home, 05/23/2019 - Thu, Gladbrook-Reinbeck Community School, Denver, L, 0-2
Home, 05/28/2019 - Tue, Gladbrook-Reinbeck High School, Iowa Falls-Alden, W, 3-0
Home, 05/31/2019 - Fri, Gladbrook-Reinbeck High School, Garner-Hay.-Ventura, W, 9-0
Away, 06/03/2019 - Mon, Gilbert High School, @Gilbert, L, 0-3
