Status, Date, Location, Opponent, Outcome, Score
Home, 04/01/2019 - Mon, Glenwood Community High School, Sioux City West, W, 4-1
Away, 04/04/2019 - Thu, Gale Wickersham Athletic Complex, @Council Bluffs Lincoln, L, 0-1
Home, 04/06/2019 - Sat, Thomas Jefferson High School, Dallas Center-Grimes, L, 1-4
Away, 04/06/2019 - Sat, Gale Wickersham Athletic Complex, @Spencer, L, 1-3
Away, 04/09/2019 - Tue, Denison High School, @Denison-Schleswig, W, 10-0
Away, 04/13/2019 - Sat, ADM High School, @ADM, L, 0-3
Home, 04/13/2019 - Sat, ADM High School, Pella, L, 1-3
Away, 04/18/2019 - Thu, Omaha, NE, @Harlan, W, 6-2
Away, 04/23/2019 - Tue, Woodrow Wilson Jr High School, @Council Bluffs Jefferson, L, 0-1
Home, 04/25/2019 - Thu, Glenwood Community High School, St. Albert, L, 2-7
Away, 04/29/2019 - Mon, Sioux City East Middle School, @Sioux City East, L, 0-4
Home, 05/07/2019 - Tue, Glenwood Community High School, Lewis Central, L, 0-2
Away, 05/09/2019 - Thu, Creston High School, @Creston, W, 9-0
Home, 05/13/2019 - Mon, Glenwood Community High School, Kuemper Catholic, W, 1-0
Away, 05/17/2019 - Fri, Atlantic High School, @Atlantic, W, 6-3
Home, 05/21/2019 - Tue, Glenwood Community High School, Tri-Center, Game Cancelled, N/A
Home, 05/23/2019 - Thu, Glenwood Community High School, Atlantic, W, 4-2
Away, 05/28/2019 - Tue, Lewis Central High School, @Lewis Central, L, 1-5
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h20190305012434222453b7f3d8a554c
