Status, Date, Location, Opponent, Outcome, Score
Away, 04/01/2019 - Mon, Paul Johnson Field, @Centerville, L, 2-5
Away, 04/04/2019 - Thu, North High School, @Des Moines North, L, 1-7
Away, 04/05/2019 - Fri, Gladbrook-Reinbeck Community School, @Gladbrook-Reinbeck, L, 0-10
Home, 04/09/2019 - Tue, Faith Baptist Bible College, Carlisle, L, 0-10
Away, 04/11/2019 - Thu, Panorama High School, @Panorama, L, 0-13
Home, 04/16/2019 - Tue, Faith Baptist Bible College, Collins-Maxwell, L, 0-7
Away, 04/29/2019 - Mon, Aplington-Parkersburg School, @Aplington-Parkersburg, L, 1-11
Away, 05/02/2019 - Thu, Goeppinger Field, @Boone, L, 0-2
Away, 05/02/2019 - Thu, North High School, @Des Moines North, Game Cancelled, N/A
Home, 05/06/2019 - Mon, Faith Baptist Bible College, Hampton-Dumont/CAL, W, 9-2
Away, 05/10/2019 - Fri, Carlisle High School, @Carlisle, L, 1-8
Away, 05/13/2019 - Mon, Collins-Maxwell High School, @Collins-Maxwell, L, 1-10
Away, 05/14/2019 - Tue, Hampton-Dumont High School, @Hampton-Dumont/CAL, W, 4-2
Away, 05/23/2019 - Thu, Chariton High School, @Chariton, L, 0-1
Away, 05/24/2019 - Fri, Des Moines Christian School, @Des Moines Christian, L, 0-10
Away, 05/29/2019 - Wed, North Polk High School, @North Polk, L, 0-14
