Status, Date, Location, Opponent, Outcome, Score
Away, 04/01/2019 - Mon, West Central Valley High School, @Nodaway Valley, L, 0-4
Away, 04/04/2019 - Thu, Carroll Athletic Stadium, @Carroll, W, 2-1
Home, 04/05/2019 - Fri, Greene County High School, Perry, L, 0-10
Home, 04/15/2019 - Mon, Greene County High School, Harlan, L, 1-8
Away, 04/22/2019 - Mon, Logan Magnolia Community Schools, @Logan-Magnolia, W, 2-1
Home, 04/23/2019 - Tue, Grand Junction, Nevada, L, 0-10
Home, 04/25/2019 - Thu, Greene County High School, Gilbert, L, 0-10
Away, 04/27/2019 - Sat, Nodaway Valley High School, @TBD, Game Cancelled, N/A
Home, 04/29/2019 - Mon, Greene County High School, PCM, Monroe, L, 0-4
Home, 05/04/2019 - Sat, Creston High School, Knoxville, L, 0-5
Away, 05/04/2019 - Sat, Creston High School, @Boone, L, 0-1
Away, 05/04/2019 - Sat, Creston High School, @TBD, Game Cancelled, N/A
Away, 05/09/2019 - Thu, Des Moines Christian School, @Des Moines Christian, L, 0-7
Home, 05/11/2019 - Sat, Grand Junction, IA, East Sac County, W, 4-0
Home, 05/13/2019 - Mon, Greene County High School, Panorama, L, 1-7
Away, 05/16/2019 - Thu, Carroll Athletic Stadium, @Kuemper Catholic, L, 0-6
Away, 05/20/2019 - Mon, Humboldt Soccer Field, @Humboldt, L, 1-5
Away, 05/28/2019 - Tue, Carroll Athletic Stadium, @Kuemper Catholic, L, 0-9
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h20190305012434612eda48e4bde6146
